sourceAccount,targetAccount,amount,currency,transactionDate,isInternational
ES6770331263676574873263,ES8605453665920833159312,4564.59,GTQ,2025-01-07 04:06:59.722903,True
ES5555173907028883702005,ES3728302302571994869902,807.25,USD,2025-01-04 05:24:29.374392,False
ES5031965146167577857908,ES4103908981721905919203,52.02,USD,2025-01-23 23:44:22.925592,True
ES9567726771918302188864,ES2974378130229079299954,4962.53,GTQ,2025-02-10 09:06:54.892511,True
ES6463505427724631526297,ES5904664701917476120697,1666.76,GTQ,2025-01-05 00:23:04.687845,True
ES8280950076656255828650,ES7800955235385112153497,4691.96,GTQ,2025-01-01 06:16:24.678812,True
ES6995743652343904714756,ES7722517245673086813420,4873.02,EUR,2025-01-19 16:35:56.825363,True
ES0391890977288016081021,ES2530187739112871036828,4332.73,EUR,2025-02-02 18:03:44.392073,True
ES3635282767333106340180,ES4349228928769356376410,313.55,GTQ,2025-01-20 18:34:42.408979,True
ES0606203047144689829635,ES0859613824046107648791,1329.87,EUR,2025-01-04 04:56:40.163247,True
ES3927228281265090567901,ES2114647590293118652776,647.66,USD,2025-02-10 16:47:46.889343,True
ES6548334763744193873811,ES2183849012449864346701,157.83,GTQ,2025-01-24 16:17:33.980152,True
ES0248989348471896770967,ES3585861511980699808284,644.49,GTQ,2025-01-11 18:54:49.463611,False
ES1435734052137295438736,ES2039761002560322103376,456.96,USD,2025-01-28 17:40:30.318749,False
ES7799820026433827104790,ES6466596670928432600566,3579.5,USD,2025-01-09 02:08:43.326288,False
ES6326315505829657290784,ES4773521955467951355519,2181.78,EUR,2025-02-26 08:40:49.010154,True
ES4144418200019897147138,ES6337854064657423717933,3861.8,GTQ,2025-01-13 10:43:31.115169,False
ES1309773841062547288618,ES9657508605358936734441,3629.78,EUR,2025-01-16 11:42:29.612494,True
ES1610231607308944366107,ES1423032833191389238432,4892.56,EUR,2025-01-15 17:18:34.001317,True
ES8437844063728676234868,ES9332406057435490726918,1506.23,USD,2025-01-22 04:26:52.047189,True
ES2709482350296083600922,ES9255755033590586796030,1671.15,USD,2025-02-07 06:32:47.833192,False
ES6619843792025937718152,ES6292945657319564531311,3720.17,GTQ,2025-01-10 20:52:19.649210,True
ES2208311318975101361299,ES9883472324867801327767,1552.55,USD,2025-01-20 18:46:47.448443,False
ES9258795836649852770427,ES1802625791709078678043,2796.09,EUR,2025-02-21 01:08:22.852017,True
ES4519414512405747189399,ES7862462473206793973664,2678.44,USD,2025-01-26 16:15:23.665034,False
ES9473421096228270720024,ES3897580474607185987703,3749.77,USD,2025-02-10 04:45:43.171497,False
ES9758631826346111310916,ES1633604813149675369723,924.53,EUR,2025-02-22 16:02:23.072495,True
ES9850217995039850097614,ES6522902728615700293410,4238.05,GTQ,2025-02-24 10:12:50.407591,False
ES8512828520715596216383,ES2039761002560322103376,4660.09,EUR,2025-01-04 08:26:45.752621,True
ES1605311595139442357729,ES5514695386160532439566,1387.55,USD,2025-01-21 20:19:49.778664,False
ES5596497431385701941785,ES0501128862949871820676,4262.98,EUR,2025-01-11 07:41:18.385911,False
ES8605453665920833159312,ES5352266773672844684077,1474.32,EUR,2025-01-03 17:21:45.076535,True
ES5360372101889110641700,ES9542882091495441470713,2895.12,GTQ,2025-02-17 08:36:52.991207,True
ES1329644350716748131614,ES0942654336446323488703,192.13,USD,2025-02-03 09:55:16.302464,False
ES9791269881012245319848,ES2034421564008411495192,2422.03,EUR,2025-01-05 00:09:07.546952,True
ES8160188565903347532683,ES6316712742005410563685,1572.9,EUR,2025-02-09 02:17:37.924726,True
ES7104927602179159545723,ES7146891851437401508768,1543.12,EUR,2025-01-23 03:06:28.179986,False
ES9405147174974903772852,ES9551524160253810928880,4737.9,USD,2025-01-18 17:10:27.624287,True
ES1768544835979642249293,ES0815902048250047915783,3189.62,EUR,2025-02-13 13:16:07.577164,False
ES1290385419977085569362,ES6586131758303248410651,1291.32,USD,2025-01-31 11:19:06.239513,True
ES2909799662197426872422,ES3509446678256558378884,3303.02,EUR,2025-02-01 00:36:55.561316,False
ES9077694587474139728906,ES1059433136275743162867,448.83,USD,2025-01-16 00:29:40.740230,True
ES8036352201653556247038,ES1245872198775742944287,3066.17,USD,2025-01-29 11:46:02.395528,True
ES7441002263992259672653,ES5128579874096185303105,2323.36,USD,2025-02-10 02:02:04.615845,False
ES7996690079105815420785,ES7104927602179159545723,1134.48,GTQ,2025-02-17 15:14:04.070702,False
ES4330448682073018830585,ES6394098849354469068730,4321.36,USD,2025-01-01 04:18:37.123661,True
ES2873572194294570146758,ES6142112505477522608054,1393.36,EUR,2025-01-10 18:11:19.890156,True
ES8969263866011388540788,ES4754154953629730611643,1305.76,USD,2025-01-25 06:33:54.993197,False
ES1130142245144112936907,ES8499895513684070343469,4084.63,USD,2025-01-26 06:23:04.935617,True
ES7406106506675333407079,ES2867469845298295419703,4077.74,EUR,2025-02-24 01:03:53.045263,False
ES1443609018530368203230,ES2446976755398555736386,3751.26,USD,2025-02-16 07:53:53.768929,True
ES9011057529162147263025,ES2732816690151124698902,156.24,GTQ,2025-01-21 07:23:29.498734,False
ES6814387554102544767122,ES3297339431398571892633,3060.39,GTQ,2025-02-23 04:18:33.378854,False
ES3520280217099545012340,ES2201205894275027916105,4730.38,EUR,2025-01-07 14:36:21.012164,True
ES4714043038678186949406,ES4294029290136624284489,3652.6,GTQ,2025-01-08 22:12:46.085499,False
ES0691581871552464592133,ES2320958449833500056315,1021.15,USD,2025-01-22 12:57:55.907003,True
ES3760479923706739354937,ES9028422886826747042379,2239.14,GTQ,2025-02-01 03:58:56.305192,True
ES5322470174163202919279,ES3341366568568872886297,4039.86,USD,2025-02-11 19:20:52.345849,True
ES6554979810448968727736,ES4498647810470082709059,4595.73,EUR,2025-01-21 01:35:29.223144,True
ES8671900136331895323916,ES0900178392372263899802,3753.56,EUR,2025-01-29 16:19:59.687443,True
ES6078187691121313943426,ES2192289745549855201119,2338.51,GTQ,2025-01-28 23:57:43.498191,False
ES3196782120058167565212,ES0808790293931081408951,3748.58,GTQ,2025-01-24 11:38:55.657802,False
ES5596497431385701941785,ES8172812511477521659484,786.38,EUR,2025-02-22 06:46:20.293544,True
ES7296409053749353410690,ES0916672384957097705552,1299.27,GTQ,2025-01-27 15:18:18.509459,False
ES6626179580164207865822,ES1448553226499619443128,2338.63,GTQ,2025-01-11 22:54:16.057588,False
ES3914838652397087335224,ES0544935308983271602991,4607.11,GTQ,2025-01-11 10:40:46.560186,True
ES1025911867637584880183,ES2104039948748499734175,4791.44,EUR,2025-01-26 20:48:36.460281,True
ES1470000042672495310537,ES2701896776865713030551,836.59,USD,2025-01-21 02:07:17.156233,True
ES8475465488183727147444,ES0501452093455414105926,840.67,GTQ,2025-02-23 11:36:40.404174,False
ES8575334718008358150265,ES8889661194447115776377,27.28,USD,2025-01-26 17:50:46.643144,False
ES4114286291777418815322,ES9351188224863866637575,290.63,USD,2025-02-24 09:07:57.869112,False
ES3854469931531802208141,ES3856263154945454562579,2083.35,EUR,2025-01-22 04:05:52.267028,True
ES1129659788089629105379,ES2323270009703019152799,2564.81,GTQ,2025-02-22 11:02:17.321210,False
ES8356827820548510406726,ES2409709056262785875753,781.6,USD,2025-01-21 11:00:30.625900,False
ES9789916743215765289964,ES1228186364336808466347,2457.15,USD,2025-01-22 04:24:20.152771,True
ES6352793156694488251465,ES4415089516754370054101,4189.13,USD,2025-01-25 05:35:44.024505,False
ES8304290341418065511891,ES9044889283508382521904,2802.69,USD,2025-02-17 11:52:37.457484,True
ES6902838451667050555580,ES8143105975696236439196,1441.11,USD,2025-02-09 01:24:36.839940,False
ES0841072101468532237216,ES1426322791194229911015,2332.96,GTQ,2025-02-20 01:17:17.069918,True
ES0942654336446323488703,ES8752310066940593797629,3260.15,GTQ,2025-01-18 17:14:51.337091,False
ES9716548339968763778220,ES7771342797565887057653,3842.48,USD,2025-02-23 09:45:30.148324,False
ES2208311318975101361299,ES5687489314955436175491,819.72,USD,2025-01-11 15:27:55.339839,False
ES7014270856056787601225,ES8499073831520023844667,3948.82,EUR,2025-02-16 22:57:38.578517,False
ES6463505427724631526297,ES0859233852471842360924,4236.11,EUR,2025-02-22 00:36:38.133980,False
ES2530187739112871036828,ES7235512382485400737294,109.42,EUR,2025-01-13 04:53:47.425420,False
ES1791550426384843723579,ES6016109065427838689030,3102.52,USD,2025-02-11 08:37:15.566652,True
ES1570576870725776314805,ES7132468541023413690609,4912.89,EUR,2025-02-22 23:26:50.422960,True
ES0760488832304265820745,ES3066892835221715710077,284.04,USD,2025-02-03 22:36:10.358952,False
ES8687810974632819558342,ES4498647810470082709059,4119.02,EUR,2025-01-25 08:42:19.690789,True
ES1188046397425723754489,ES4588692697108980814041,4639.44,USD,2025-02-13 21:41:01.626819,True
ES8363239623931323009774,ES6988195482935797452522,4896.33,GTQ,2025-01-08 07:07:25.391547,False
ES8304223822699999094759,ES8364595964735174171505,791.14,USD,2025-01-16 14:04:16.161598,True
ES9567726771918302188864,ES5960313181861229896879,4329.86,GTQ,2025-01-16 22:37:04.064837,True
ES2230428648402326599594,ES8856980518937068667408,4277.84,GTQ,2025-01-03 07:08:45.954969,True
ES7175940721818039730790,ES7580026456497212792836,60.99,USD,2025-01-25 08:38:47.246922,False
ES5280358744044530664414,ES0903390454298556908757,4049.35,USD,2025-01-06 19:19:13.570610,False
ES9099827747175807388388,ES7710553473001098519412,243.79,USD,2025-02-18 00:08:37.097952,False
ES4071840474767686829916,ES4597116725310942115961,1891.51,GTQ,2025-02-15 09:18:05.581656,False
ES5468203993779902023925,ES4840951730507141670481,3574.39,EUR,2025-01-27 17:55:35.977241,False
ES3472452000312339468067,ES2560720874154218055419,3973.0,USD,2025-02-09 19:35:51.102337,False
ES3808994756541461626819,ES8233269505697494547546,2754.25,USD,2025-02-09 08:46:52.055950,True
ES7544499915143153728477,ES2783295548533937226309,4102.73,EUR,2025-01-02 13:09:10.824663,False
ES9540274163553071791050,ES9141560412599434340643,3845.85,USD,2025-02-21 11:09:23.848374,False
ES0927133363157148584496,ES7047203400689314807024,4043.84,EUR,2025-01-19 17:49:22.344537,True
ES6704954578156295386914,ES6949987440333955329433,1241.44,EUR,2025-02-22 21:01:19.821024,False
ES2570165190742589862314,ES1088708790572104865483,4572.83,USD,2025-01-20 11:43:23.435793,True
ES2436688681553225127270,ES5624622541233690755790,391.04,EUR,2025-01-17 05:41:14.156625,False
ES1951558704637311593281,ES4840951730507141670481,501.42,USD,2025-01-08 19:19:00.038286,False
ES2004369986743340099069,ES4705269978492857600720,2493.78,USD,2025-01-03 00:33:54.192335,False
ES4900351596394931290595,ES9141560412599434340643,782.27,GTQ,2025-01-01 22:43:57.430892,True
ES7972574914397916597030,ES9003637290220644641790,4062.37,EUR,2025-01-08 10:17:55.141869,True
ES6770331263676574873263,ES2863385797064124702749,1922.93,USD,2025-01-22 09:15:18.654403,False
ES5987852034370778876144,ES9655582955357152915896,2181.31,GTQ,2025-02-02 21:58:07.897532,False
ES8664164497813851929204,ES2477556152604154111186,2120.03,EUR,2025-01-02 14:21:07.082380,False
ES2933357859280488384816,ES4729109918130259522487,1796.93,EUR,2025-02-19 19:14:28.613065,True
ES5891184555099834865499,ES0207116358934168451334,1025.84,GTQ,2025-01-17 09:01:31.991534,False
ES1653753485816153224621,ES4900351596394931290595,1927.53,EUR,2025-01-31 08:31:25.604567,False
ES1765121866213478659618,ES4784274337769268762561,3765.67,EUR,2025-02-04 00:39:21.828416,True
ES3551741989356413775964,ES8471703774561937126869,2438.51,EUR,2025-02-15 22:45:45.631113,True
ES7921864976645843464013,ES5684188739790942119746,3883.82,EUR,2025-02-20 02:35:32.746709,False
ES5573027123905912915004,ES6379315505579219772866,4204.28,GTQ,2025-02-14 17:37:31.260782,False
ES2512607603512999494080,ES1400360655132802020610,3361.88,EUR,2025-01-02 19:40:54.967212,True
ES9747406023983988356312,ES9569433889407216827931,872.06,EUR,2025-01-21 01:37:49.977328,False
ES9735964970884123560543,ES2873572194294570146758,2020.1,USD,2025-02-25 18:54:36.543036,False
ES4451913596233072976283,ES1344929367741033244572,2585.81,EUR,2025-01-13 07:21:58.735785,True
ES9830520431796806931660,ES9279687028161940240602,2148.77,USD,2025-01-18 13:36:52.666239,True
ES2293125472566697799679,ES9754581018713706074828,4462.92,GTQ,2025-02-21 23:10:05.328706,True
ES8460447359882703026512,ES0559138311681260012974,4728.52,GTQ,2025-01-19 12:02:43.468172,True
ES5844071303789285971947,ES3827050467020704253898,1049.15,GTQ,2025-02-18 06:20:13.634874,False
ES5231008060629310405239,ES7735419608951267015168,3461.23,EUR,2025-01-06 21:41:37.652529,True
ES9689997341067194392167,ES1610231607308944366107,2649.78,GTQ,2025-01-15 17:31:45.249522,False
ES5934180294801174233074,ES4279526641339518911363,2038.12,GTQ,2025-01-17 22:53:47.478492,True
ES1292985827577998010407,ES2171449656321763387596,2589.89,GTQ,2025-02-01 08:51:01.093226,False
ES8161162828070527039191,ES5785312005933379830495,1176.44,USD,2025-01-07 08:56:55.691996,False
ES9841441293330888059844,ES3624241517788925819023,3889.33,EUR,2025-01-25 16:34:24.304386,True
ES4543019069692225395260,ES8253636325153192388652,136.74,GTQ,2025-01-07 21:55:39.926928,True
ES1764063716108686002351,ES3887447495712033337469,2892.78,GTQ,2025-02-11 03:36:21.463612,True
ES6878979870943618713808,ES2956108052142979125835,1643.59,EUR,2025-02-20 11:57:02.843173,False
ES0959757367122906552134,ES8375689770102595807242,3884.79,EUR,2025-02-24 17:45:58.921618,True
ES0980369420301142697181,ES3014779069326140874805,3691.95,EUR,2025-02-10 20:43:08.998301,False
ES3843680619058632775896,ES9848186807513688396090,2373.71,GTQ,2025-01-15 22:08:31.770070,False
ES1650387965331752510421,ES2537213723990860631542,1701.61,EUR,2025-01-11 02:37:53.829305,True
ES6856238267063602087545,ES8192924688729351826658,394.1,GTQ,2025-02-04 13:11:43.995036,True
ES3300058826121935834563,ES9384121935146949451386,3908.47,EUR,2025-02-02 22:54:19.669559,True
ES5725826054934688931276,ES6508688179450793566277,2389.52,EUR,2025-01-29 17:25:01.981540,True
ES3238481116117811559372,ES9010327256851104163294,1039.15,USD,2025-02-20 16:21:58.129450,True
ES3809114607377680045465,ES5876641285692344230485,3220.89,EUR,2025-02-08 14:18:36.602823,True
ES2489562849835289160499,ES5589438455658886925124,384.31,EUR,2025-02-25 23:38:06.266630,False
ES3889339327436555381925,ES1960724093363428167272,2455.58,GTQ,2025-01-20 10:41:32.586434,True
ES3863313340433713139744,ES6149316874724750560009,541.97,USD,2025-01-10 02:56:07.693984,True
ES5114079332969209184911,ES5519913544640731010360,796.5,GTQ,2025-01-02 21:47:01.384565,False
ES1310934212671246574374,ES5370848613183143592459,1348.34,GTQ,2025-01-12 05:21:45.802999,False
ES5662777540390714146439,ES6844442248424703344645,1171.12,EUR,2025-01-14 05:41:37.449118,True
ES5420741187502679744837,ES8772105547988481155699,4179.37,GTQ,2025-02-26 12:44:38.830069,True
ES0332544563993097090856,ES7014270856056787601225,4283.82,USD,2025-02-06 14:56:36.459785,True
ES3856322805808326867713,ES3277505802677301293703,909.11,EUR,2025-02-23 13:10:04.477058,True
ES2672293933160964574052,ES8758698401638121800738,1338.04,GTQ,2025-01-31 22:34:04.692949,False
ES1582187380075359789129,ES2712332281770851878583,4145.84,USD,2025-02-08 07:08:44.707610,False
ES2436688681553225127270,ES6387822735761068915372,4343.07,EUR,2025-02-12 11:45:51.112036,False
ES3635282767333106340180,ES1960724093363428167272,3799.77,USD,2025-01-24 14:32:12.345092,True
ES7996768194290905098225,ES0771663225732321594056,978.15,USD,2025-02-14 23:32:10.936790,False
ES9735964970884123560543,ES7319893049042511598465,4707.4,EUR,2025-02-14 22:21:37.303488,True
ES4856125206350359121167,ES0985634337057704746782,2072.21,EUR,2025-01-15 06:16:08.048375,True
ES8917003093331386299178,ES3865014538846360619148,1405.52,GTQ,2025-02-04 14:55:25.090630,True
ES2482890595012107492367,ES3273322752272831191055,4316.5,EUR,2025-01-09 11:27:43.975174,True
ES9569433889407216827931,ES9246128345735058069932,3914.77,EUR,2025-02-14 20:13:59.302523,True
ES5224835852105030881812,ES1344929367741033244572,36.59,USD,2025-02-25 03:41:24.622579,True
ES7919329890040210331765,ES0372792919364628105446,3783.6,EUR,2025-01-15 01:12:54.455155,False
ES7278587213579164649956,ES9035915227990431402931,4406.07,GTQ,2025-02-15 05:58:20.378870,False
ES5553900553900154718040,ES6787234422393823140945,3022.08,GTQ,2025-02-23 07:35:51.856926,True
ES9734064746602963855805,ES9406556388349092278525,3506.56,EUR,2025-01-23 07:13:31.925006,True
ES5798214636874623746012,ES2214502510000957787653,444.16,GTQ,2025-02-15 05:52:47.913006,True
ES7172079620243580654471,ES5685792370127725752077,1118.82,GTQ,2025-01-04 22:13:49.687834,True
ES2231563990443584749457,ES8503889593693451825582,3864.3,EUR,2025-01-29 15:51:36.177395,True
ES6848567141298404164020,ES4965850870790651198131,2157.93,EUR,2025-02-11 00:30:18.272571,False
ES8002090991343663250181,ES1975602619030658293411,1662.33,USD,2025-02-25 08:37:12.320566,False
ES1222972870542244808449,ES8936463761178975093006,2769.29,EUR,2025-01-09 00:18:39.134776,False
ES9551558648859107434466,ES0734280697809921394947,2451.37,GTQ,2025-02-14 14:20:14.851470,False
ES7289469983582399295254,ES3090082629343734551471,3616.7,GTQ,2025-01-20 19:12:39.448422,False
ES7949126162076345930615,ES4205711583941226437541,23.92,GTQ,2025-01-11 15:27:00.064368,False
ES9728778215221979394480,ES5673681569110747113600,2069.79,USD,2025-02-03 04:39:39.917811,True
ES5248139972711987216510,ES2436688681553225127270,61.05,GTQ,2025-01-10 08:30:13.118746,True
ES7620905558895418480269,ES4862274808486470656267,4213.6,USD,2025-01-31 14:56:36.882623,True
ES8766741639406195296896,ES4833375129241264134404,3860.52,EUR,2025-02-10 13:56:44.995702,False
ES9831692411167519056813,ES0983849507674799078913,1198.6,USD,2025-01-15 13:04:22.595151,False
ES8152382000716357711002,ES4884216498803600318534,2866.39,USD,2025-02-23 21:59:05.281824,True
ES3737616638540724473065,ES3277505802677301293703,792.82,USD,2025-01-29 07:16:19.901299,True
ES2104039948748499734175,ES1515429364075034973809,42.74,USD,2025-02-14 13:24:22.677240,True
ES0551052106532786260588,ES4066858025745201865553,213.28,EUR,2025-02-01 06:24:51.993449,False
ES8457479646139435515392,ES2276516017644451594997,4867.39,USD,2025-02-06 09:34:33.502721,True
ES1470000042672495310537,ES8805953267928791770578,1649.52,GTQ,2025-01-23 14:16:07.940116,True
ES7295136195508703466991,ES1605311595139442357729,2030.05,GTQ,2025-02-06 09:23:30.938945,False
ES6281203367857077154930,ES5653730259962595682901,1048.67,USD,2025-01-19 04:38:17.228297,True
ES3972946371326158755491,ES8603039620556162035487,819.38,USD,2025-02-25 19:48:57.175675,False
ES4320981450409098702395,ES8288131340069102242660,2964.56,USD,2025-02-13 06:48:37.664697,True
ES9393052673632474562322,ES7870763603814157174765,142.99,GTQ,2025-01-27 11:11:38.216665,True
ES1653753485816153224621,ES6226482805098618585485,4159.95,EUR,2025-02-14 19:39:08.389818,False
ES4032042695085247134748,ES0393612126817505978199,4399.72,USD,2025-01-01 07:10:40.778811,False
ES9841441293330888059844,ES7884213115840579086037,3759.27,EUR,2025-02-25 10:54:48.358368,False
ES4849087814676392731607,ES6394098849354469068730,3062.53,GTQ,2025-01-14 03:38:25.638290,True
ES0959757367122906552134,ES4637135697889873248923,598.34,USD,2025-01-02 17:53:26.742274,False
ES1789010386188702409097,ES7035125561343644775657,385.52,EUR,2025-01-06 17:20:43.386236,False
ES7671760195595103827764,ES2611373706430389874294,1396.5,USD,2025-01-27 02:15:06.787527,True
ES5056021490644299973422,ES4391276652943115966127,2980.53,EUR,2025-02-22 16:34:23.443684,True
ES2034421564008411495192,ES2987227224937989198027,4509.42,EUR,2025-02-21 08:26:15.311885,True
ES5425693083161591145310,ES8555558255565484961746,912.25,EUR,2025-01-22 03:14:05.114540,True
ES9646139023967360436568,ES7369707062521688048625,508.37,EUR,2025-01-14 13:56:51.569685,True
ES0635190285060398786973,ES7073976880694365494118,649.26,EUR,2025-02-10 02:17:46.975654,False
ES5530834116730447232362,ES4754576503237757580901,764.21,GTQ,2025-01-08 18:14:14.856634,False
ES7270304752322224830393,ES4228308673481082476417,523.4,USD,2025-02-01 04:41:00.858883,True
ES1978062382387840915970,ES1616337994827191425133,2134.36,EUR,2025-02-06 23:13:44.194047,True
ES5526265312243854117710,ES1188046397425723754489,2859.7,USD,2025-01-26 16:27:08.311084,False
ES5139019441124708651287,ES9315139296176248744515,695.77,USD,2025-01-21 13:09:37.759178,True
ES8936463761178975093006,ES2512607603512999494080,538.41,EUR,2025-01-30 13:48:14.072679,True
ES1987284806112719972547,ES9204080759749504293648,1779.58,EUR,2025-01-05 06:03:15.471850,True
ES1974400961353235622228,ES6554979810448968727736,3601.78,USD,2025-02-11 13:32:00.326449,True
ES7029071214324784131879,ES7855630926162511667037,534.29,USD,2025-01-23 18:26:32.962976,True
ES7438889558236132983105,ES2282835703916656548000,2213.67,GTQ,2025-01-12 05:50:09.338902,False
ES7303704959557546334046,ES1264600247765451344924,1312.03,GTQ,2025-02-10 12:34:21.099602,True
ES3521321258106756463850,ES8141681582690077909894,3708.83,USD,2025-01-21 12:35:10.324683,True
ES7409631892748437633301,ES2691541123489001918283,2513.57,USD,2025-01-12 04:53:54.383008,False
ES2863556033010204838854,ES8143105975696236439196,3380.28,GTQ,2025-02-19 18:52:14.506107,True
ES8887148674389654726781,ES2353288281232747518816,3682.41,USD,2025-01-05 16:44:16.634712,False
ES8664164497813851929204,ES4884216498803600318534,2420.68,USD,2025-01-12 04:19:12.117231,False
ES1856586120487704849732,ES5575245716343648741358,1917.2,GTQ,2025-02-04 01:20:17.381406,True
ES3157273745265740975105,ES4856125206350359121167,4404.33,USD,2025-02-13 14:50:36.015866,False
ES4833493384139825411088,ES2672293933160964574052,1796.26,GTQ,2025-01-28 23:57:25.950282,True
ES8766741639406195296896,ES6862685995071107537222,2341.68,GTQ,2025-02-14 15:30:12.493833,False
ES4862274808486470656267,ES2478233592091157035051,1381.94,GTQ,2025-01-27 05:32:42.703918,False
ES0414360389359469718258,ES8178922973735292219359,3930.19,EUR,2025-01-09 08:44:21.650916,True
ES0893811340570314865988,ES2068967898839454346306,2712.01,EUR,2025-01-02 18:55:26.847562,False
ES1245872198775742944287,ES8018114554177853427860,2394.35,EUR,2025-01-31 06:29:43.500587,True
ES8947926528728348532994,ES5927426611667347107334,2544.5,EUR,2025-01-15 18:17:25.757563,False
ES6848567141298404164020,ES9481278569747398008009,2926.66,USD,2025-02-23 17:11:54.969629,False
