accountNumber,accountType,balance,createdAt,isActive,currency
ES6263100982522105819760,Savings,76658.56,2023-03-01,True,EUR
ES6696274749542121415260,Savings,12953.8,2025-01-17,True,EUR
ES0278777943583566171480,Savings,69933.28,2024-05-25,True,EUR
ES7925496606445412301717,Savings,92641.88,2021-12-01,True,USD
ES4005995233755325397933,Savings,79314.18,2022-04-11,False,USD
ES3366196692614475016148,Savings,88083.07,2020-05-27,True,USD
ES8623151584777979762247,Savings,18761.87,2023-09-17,True,GTQ
ES2444902503402518824458,Corporate,59779.32,2021-11-08,False,EUR
ES4729109918130259522487,Corporate,80933.77,2020-05-05,False,GTQ
ES6531144831313082226109,Savings,21409.86,2020-11-30,False,GTQ
ES8499073831520023844667,Checking,41791.1,2024-12-16,True,GTQ
ES2263429450147915373366,Corporate,4724.5,2020-06-26,True,GTQ
ES7662336988079123915112,Checking,61592.93,2021-11-12,True,GTQ
ES3062461109410646676593,Checking,35437.5,2021-02-27,True,GTQ
ES0930826946958376442101,Savings,19998.38,2021-06-05,True,GTQ
ES2991950578271905560251,Checking,86410.37,2022-11-23,True,EUR
ES7341626074533787943578,Corporate,66273.39,2022-04-14,False,USD
ES2647935377778717420582,Savings,12155.23,2024-10-19,True,GTQ
ES6181559804602084656246,Checking,50253.97,2023-03-09,True,GTQ
ES5662340348628144379039,Savings,6348.73,2024-07-09,False,EUR
ES0992020535232046817997,Savings,44032.49,2023-07-25,False,GTQ
ES1024609358839386521254,Checking,5288.43,2021-08-22,True,GTQ
ES2621920460513166182184,Savings,16646.52,2021-08-28,True,EUR
ES8307420949362047677875,Corporate,12490.44,2024-07-28,True,GTQ
ES5248139972711987216510,Checking,59677.96,2021-07-28,False,EUR
ES4942209721318960270950,Savings,74961.59,2022-12-01,False,USD
ES3196782120058167565212,Savings,33287.09,2020-03-19,True,USD
ES1828238194015326888498,Corporate,41846.95,2020-09-05,True,EUR
ES6988195482935797452522,Savings,8279.44,2020-07-17,False,USD
ES8641548635852664663153,Checking,15349.19,2022-11-18,False,USD
ES2330523053810848564299,Checking,37975.02,2021-06-18,False,GTQ
ES6502743394752687328124,Savings,63570.09,2023-05-29,False,USD
ES4784204608639019106905,Checking,13593.96,2024-07-20,True,EUR
ES0746630552228740891140,Savings,11999.82,2025-01-03,False,EUR
ES2649132277533120494233,Checking,17948.93,2023-06-10,False,USD
ES1926008958632373551829,Checking,60759.96,2024-12-19,True,GTQ
ES3256693110934442741302,Corporate,85645.4,2021-05-20,True,EUR
ES6814387554102544767122,Corporate,49432.13,2023-03-05,True,GTQ
ES6304034195040318948760,Checking,83861.91,2024-11-14,False,USD
ES4279526641339518911363,Corporate,43382.93,2021-02-12,True,USD
ES0828525634517756472684,Checking,43990.62,2022-12-20,True,GTQ
ES0691581871552464592133,Savings,91461.72,2021-11-18,True,EUR
ES7146891851437401508768,Savings,4965.81,2024-08-20,False,GTQ
ES3927228281265090567901,Corporate,4328.43,2022-09-22,False,EUR
ES7224381933775534479749,Corporate,82307.84,2023-09-06,False,EUR
ES3485423244465861162500,Savings,9226.06,2021-12-07,True,GTQ
ES0859613824046107648791,Corporate,41255.19,2022-05-24,True,USD
ES1866565166786509921641,Checking,30283.25,2020-03-07,True,USD
ES4637135697889873248923,Checking,67234.53,2023-01-27,True,GTQ
ES1139589136115711667537,Checking,85934.29,2020-10-09,True,EUR
ES5092664253261666436423,Checking,77411.67,2022-10-17,False,USD
ES3843680619058632775896,Checking,63054.28,2022-11-19,True,GTQ
ES1255306512600814481000,Savings,39103.05,2022-10-23,False,GTQ
ES2320958449833500056315,Savings,30362.41,2023-11-02,False,GTQ
ES2947253995033114263176,Corporate,54701.08,2021-08-12,True,GTQ
ES8079412509404978800303,Savings,62425.07,2020-07-07,False,GTQ
ES1855409799325418318504,Savings,51958.91,2024-04-26,False,USD
ES7278587213579164649956,Savings,38912.54,2020-04-30,False,GTQ
ES4841660495011982802884,Savings,37191.54,2021-09-28,True,GTQ
ES7227655281935185846824,Corporate,70782.49,2022-10-30,True,USD
ES4105544107136257199945,Checking,24624.64,2025-02-08,True,GTQ
ES4717974986733998726052,Checking,74000.63,2021-03-09,True,GTQ
ES7372042202202404382446,Savings,32725.92,2022-12-09,False,GTQ
ES5784701673350546355970,Corporate,42869.98,2022-10-10,True,USD
ES4341064946356027820523,Checking,35177.43,2024-10-20,False,GTQ
ES3805853147990579753099,Corporate,83126.42,2023-01-29,False,GTQ
ES4309513593239395221412,Corporate,68152.52,2020-11-08,False,EUR
ES2383758411397772893103,Corporate,37446.44,2022-02-25,True,USD
ES1791550426384843723579,Checking,9643.57,2022-03-11,False,USD
ES2268524577885809480910,Checking,95867.39,2020-07-13,True,USD
ES4066858025745201865553,Savings,28318.33,2022-08-28,True,EUR
ES4815660343289553707550,Savings,87624.32,2024-12-22,True,EUR
ES2937435104648660443254,Checking,96987.89,2022-09-30,True,EUR
ES1435734052137295438736,Checking,42592.87,2020-10-10,True,EUR
ES3663949441807293545502,Savings,7232.0,2023-10-29,True,GTQ
ES2173758587703300980689,Corporate,34251.86,2024-10-25,False,GTQ
ES2272955746167112461117,Corporate,78895.61,2023-10-31,False,GTQ
ES9115297422783437666600,Corporate,69989.49,2021-10-01,False,EUR
ES4597116725310942115961,Checking,57157.91,2024-11-27,False,USD
ES6952831768798184799123,Checking,23451.41,2023-03-01,False,EUR
ES3131165484241562210304,Savings,15685.5,2021-11-13,False,EUR
ES0477010383746609678880,Savings,62244.39,2021-07-01,True,GTQ
ES6379315505579219772866,Corporate,29239.41,2020-09-14,True,GTQ
ES3351853655233464694338,Corporate,90566.4,2021-02-28,True,USD
ES8165232745830084977914,Savings,12574.82,2024-09-01,False,GTQ
ES5230179509991648699748,Savings,44647.98,2020-06-04,False,USD
ES2323517618264992536777,Savings,56686.24,2021-06-24,True,GTQ
ES0770089204724029604252,Checking,97824.23,2023-10-16,True,EUR
ES6412665522430946597589,Checking,54446.79,2020-03-06,True,GTQ
ES0475739697493382440323,Checking,13027.51,2022-11-19,True,EUR
ES1025911867637584880183,Checking,77083.3,2024-06-16,False,EUR
ES7771770336939629024944,Savings,1425.14,2020-11-23,False,GTQ
ES5206448923783702581670,Corporate,30260.13,2024-03-14,False,GTQ
ES0714518365470328444413,Corporate,15561.26,2024-03-19,False,EUR
ES5586319985707294748911,Corporate,12119.25,2022-08-21,False,USD
ES4997788396046253973578,Savings,68122.83,2022-11-02,True,EUR
ES8705059932284342216694,Savings,40761.36,2020-06-11,True,EUR
ES5322470174163202919279,Checking,10155.63,2024-11-14,True,GTQ
ES8226874597831573690560,Corporate,20319.82,2023-07-23,True,EUR
ES4933200311077598942385,Savings,3232.32,2022-08-14,False,GTQ
ES2608965622657249915501,Corporate,95804.75,2020-05-20,False,USD
ES7740387598847819839301,Checking,32458.02,2024-09-17,True,GTQ
ES6281262589321311235531,Checking,40358.24,2021-03-21,False,EUR
ES1279477089693885565810,Checking,37910.28,2021-10-08,False,EUR
ES5013320635151448446453,Checking,31500.45,2023-05-22,False,GTQ
ES6909526600857207934871,Savings,22353.82,2024-03-26,False,GTQ
ES7133898985201376422757,Checking,80564.86,2021-07-02,False,USD
ES2293505118407064448938,Corporate,97065.71,2023-06-11,False,GTQ
ES2114647590293118652776,Checking,14817.2,2024-06-01,True,USD
ES3754159817877811166526,Savings,31019.88,2020-08-22,False,USD
ES2183849012449864346701,Corporate,75855.29,2020-04-07,True,USD
ES3489153859031191542953,Checking,64241.79,2020-11-20,False,EUR
ES3825692808414529660603,Savings,56025.57,2021-05-22,True,USD
ES9255755033590586796030,Savings,83396.09,2020-09-21,False,GTQ
ES2279520101943827705735,Checking,5181.06,2021-05-21,False,GTQ
ES2551104730231501230843,Checking,49915.95,2020-07-19,False,USD
ES0760488832304265820745,Savings,79330.74,2020-05-18,True,EUR
ES3341366568568872886297,Checking,95646.63,2024-05-25,False,USD
ES4032042695085247134748,Corporate,66925.43,2024-02-01,False,EUR
ES7406106506675333407079,Savings,49696.76,2024-11-04,True,USD
ES9124072292818445330363,Savings,76707.12,2022-03-24,False,USD
ES6731305350051803508866,Corporate,74810.99,2022-01-30,False,GTQ
ES4585461925011323662068,Checking,86966.25,2022-01-25,False,GTQ
ES9116251818386016055174,Savings,37947.02,2021-08-07,True,EUR
ES2691541123489001918283,Savings,58583.8,2024-12-08,True,EUR
ES1835939052414214173306,Checking,87953.41,2022-04-25,True,EUR
ES2974378130229079299954,Savings,6235.94,2021-08-01,False,EUR
ES9551527276293850425223,Corporate,91298.36,2024-06-24,False,USD
ES2672293933160964574052,Checking,29874.75,2021-04-17,True,GTQ
ES2315841346868154497471,Savings,76877.8,2023-07-14,True,USD
ES9162754585620034358446,Corporate,75510.22,2024-05-04,False,EUR
ES2707263065261532990050,Corporate,80187.84,2021-10-31,False,GTQ
ES3942510652768487432136,Corporate,69146.32,2022-05-20,True,GTQ
ES8471703774561937126869,Corporate,35811.31,2022-06-20,True,USD
ES8499895513684070343469,Savings,52298.9,2024-04-16,False,EUR
ES4909966177564620089067,Checking,34691.0,2020-08-26,True,USD
ES7234922205904191206147,Savings,16300.94,2022-05-23,True,USD
ES3452198279469298904737,Corporate,61729.41,2023-04-16,True,EUR
ES4714043038678186949406,Checking,91687.08,2025-01-18,True,USD
ES7729107768956311421285,Savings,48472.3,2024-04-05,False,GTQ
ES3897580474607185987703,Checking,14762.38,2021-07-17,False,GTQ
ES5056824525341992234645,Corporate,76595.37,2025-02-22,False,USD
ES5143504341962983695383,Corporate,31163.74,2023-01-07,True,USD
ES6514726992456217495954,Savings,85824.71,2024-10-08,True,GTQ
ES8670595456533448932599,Savings,31435.4,2023-08-17,True,USD
ES8772105547988481155699,Savings,43055.7,2024-12-28,True,USD
ES9151187317127232744212,Savings,77694.54,2023-11-15,False,USD
ES4817761077044282383738,Savings,11673.92,2023-12-20,True,EUR
ES3760479923706739354937,Savings,90944.4,2021-04-28,True,USD
ES9620630151485562777796,Checking,67091.06,2023-03-12,True,USD
ES2489562849835289160499,Corporate,21334.72,2021-08-17,True,USD
ES1347799652437274175229,Corporate,35801.83,2021-11-04,True,USD
ES0900178392372263899802,Corporate,94242.65,2022-04-19,False,EUR
ES4959246107067748326989,Savings,85658.67,2021-03-22,True,GTQ
ES1967992440613548798679,Corporate,7765.37,2020-06-16,True,GTQ
ES5553900553900154718040,Savings,71865.35,2024-02-16,False,USD
ES0361275371475155876321,Corporate,1428.56,2022-03-07,True,USD
ES9818837057748099217580,Corporate,85278.38,2024-10-21,False,EUR
ES9229842031464894698541,Corporate,59348.68,2024-05-10,False,GTQ
ES1641114264456812681891,Savings,18904.01,2023-10-03,False,EUR
ES5523348827469414868688,Checking,22213.13,2023-09-29,True,EUR
ES2386938027246736935262,Savings,76379.54,2022-11-12,False,USD
ES3854469931531802208141,Checking,11921.3,2020-03-19,True,EUR
ES1486162054445894953500,Checking,70768.36,2022-01-06,True,USD
ES3273322752272831191055,Checking,49877.57,2023-01-13,False,EUR
ES3474659833415498292438,Checking,60438.56,2020-07-12,False,GTQ
ES1310934212671246574374,Checking,23361.47,2022-08-29,False,EUR
ES8062227088440607228496,Checking,19689.71,2021-05-23,True,EUR
ES0932369878488019127078,Corporate,37376.7,2020-06-24,True,GTQ
ES9247391537713432376618,Checking,67537.45,2024-12-10,False,EUR
ES8941368590060314373722,Corporate,66196.28,2020-05-03,True,USD
ES7266059434818966631141,Savings,40086.33,2024-03-18,True,GTQ
ES0285536231221586043412,Savings,7406.33,2021-08-04,True,EUR
ES5049578284893190093173,Savings,59901.12,2025-02-24,False,USD
ES4008007400146076088628,Savings,83972.8,2022-12-21,False,EUR
ES2041487772529175812558,Corporate,76831.24,2020-09-17,False,GTQ
ES6689097243430868281079,Checking,36253.63,2023-08-22,False,EUR
ES5849538449119810340207,Corporate,28610.17,2021-05-06,False,USD
ES1778160038951054685432,Savings,25818.3,2020-09-19,False,USD
ES7869629011629833425696,Corporate,94297.9,2021-09-28,True,USD
ES2741728738988597032200,Corporate,6232.39,2023-02-25,True,EUR
ES8173636240735630530731,Corporate,3648.14,2023-12-24,True,EUR
ES1900108504059946623108,Corporate,68241.23,2025-01-22,True,EUR
ES1653753485816153224621,Corporate,62700.03,2020-07-20,True,GTQ
ES3142996280609202975611,Corporate,76989.64,2023-12-03,False,USD
ES4671122008291042838092,Checking,66547.23,2020-06-14,False,GTQ
ES8830327189514185348674,Checking,54701.37,2020-11-09,True,USD
ES2213564865554045838077,Checking,88132.44,2023-02-23,True,EUR
ES3824676931766289490791,Checking,32141.36,2022-05-21,False,EUR
ES6848567141298404164020,Checking,4562.13,2020-06-08,True,GTQ
ES8160188565903347532683,Corporate,86175.71,2020-08-19,False,GTQ
ES0523967906111322118731,Savings,49656.48,2022-04-18,True,EUR
ES6226482805098618585485,Corporate,39518.97,2024-04-30,True,GTQ
ES9734064746602963855805,Corporate,49564.82,2023-06-12,False,EUR
ES1930027049113832298487,Corporate,85580.8,2021-02-17,True,EUR
ES4228351343014472635525,Checking,49974.42,2023-05-10,False,GTQ
ES1662296735879005294558,Corporate,35923.61,2024-05-14,False,EUR
ES7707547646225407528126,Savings,3786.55,2023-05-24,True,USD
ES8442781693514328371228,Checking,35538.8,2023-07-03,True,GTQ
ES5514695386160532439566,Checking,38676.76,2022-02-13,False,EUR
ES5325406448522928310486,Checking,41781.03,2022-12-12,True,GTQ
ES7802034266504097039029,Savings,25513.78,2022-10-23,False,GTQ
ES3578662248277519347711,Savings,91128.51,2023-04-28,True,EUR
ES3658421150267033062848,Savings,34421.83,2024-12-27,True,GTQ
ES8555558255565484961746,Checking,4700.38,2021-01-09,False,GTQ
ES5849691462671268700339,Corporate,90239.57,2022-03-16,False,USD
ES4417998374065391567844,Corporate,47500.29,2022-03-18,True,EUR
ES7964347594213026626598,Checking,57465.0,2023-05-08,False,GTQ
ES4102963442817154495374,Savings,81024.33,2020-04-09,True,GTQ
ES7076310850247541299087,Corporate,21384.92,2022-12-11,False,GTQ
ES1961666159850370993558,Corporate,34614.4,2021-06-22,False,EUR
ES4038447944585471933218,Checking,20974.1,2022-08-24,True,GTQ
ES2506326268166775982201,Savings,29448.2,2022-01-12,True,EUR
ES9836704131652278336974,Corporate,40800.71,2024-11-29,True,GTQ
ES5523708869641107540586,Corporate,95836.17,2023-01-18,True,GTQ
ES0278757066422030322797,Checking,28063.13,2022-05-01,False,EUR
ES7459442496038211701269,Savings,35384.33,2021-11-09,True,GTQ
ES8596116550594973879014,Checking,50959.31,2021-07-15,False,EUR
ES9473626625944376556457,Corporate,54454.81,2023-05-19,True,EUR
ES1264600247765451344924,Checking,25875.21,2024-10-11,False,GTQ
ES8928080545031617572626,Corporate,18879.48,2021-02-07,True,GTQ
ES8906100541091767286106,Corporate,52106.19,2023-08-08,True,GTQ
ES2933357859280488384816,Checking,22082.33,2020-04-24,False,EUR
ES4258986851716024061156,Corporate,53739.21,2024-04-30,False,GTQ
ES7389478173487907782685,Corporate,63049.09,2022-11-22,True,EUR
ES2071378570034908224800,Checking,15626.63,2024-08-27,True,GTQ
ES5735080262497121454491,Corporate,76787.48,2021-11-04,False,EUR
ES8460447359882703026512,Checking,86158.41,2020-06-21,True,GTQ
ES1423032833191389238432,Savings,84750.73,2024-02-16,False,EUR
ES2011857811343102349508,Corporate,16897.85,2022-05-23,True,EUR
ES0839720947826201046784,Savings,12242.3,2020-09-05,True,USD
ES3745800070011883594048,Savings,79907.43,2021-09-13,False,EUR
ES7364090695258749345517,Checking,56422.68,2020-05-27,False,EUR
ES5128579874096185303105,Corporate,90659.91,2024-10-22,True,USD
ES0970483249462025039188,Checking,14506.63,2022-05-31,False,EUR
ES8590315636134093502658,Corporate,55519.91,2022-05-07,True,GTQ
ES1091749413555013358449,Checking,78441.14,2024-11-08,True,USD
ES8894722273304743295132,Checking,60558.37,2022-11-01,True,EUR
ES0622243748340843830591,Checking,67495.54,2023-10-03,True,EUR
ES5418010976654172154505,Corporate,84432.28,2023-06-22,True,USD
ES1559195354161371121799,Corporate,73713.56,2023-12-28,True,GTQ
ES0800646638337701027832,Corporate,83069.18,2025-01-07,False,EUR
ES8220747398164202396753,Savings,24569.61,2022-05-14,True,EUR
ES4591219591946935809590,Checking,83401.08,2020-05-11,False,GTQ
ES1260068123883033023406,Corporate,24357.87,2020-07-14,False,USD
ES9551524160253810928880,Savings,11574.59,2021-03-26,True,EUR
ES1857908661210321953380,Checking,41429.18,2025-02-14,True,EUR
ES8068234576706561280126,Corporate,38095.79,2020-05-13,True,EUR
ES1847218831356945278530,Corporate,42954.35,2024-02-16,True,EUR
ES5102674134681609914802,Savings,36936.8,2024-03-21,False,EUR
ES8538187992326036850030,Savings,64894.36,2022-04-27,True,GTQ
ES7113474038579839449997,Corporate,80095.19,2020-10-23,True,GTQ
ES3852156921421739645930,Corporate,24727.91,2024-09-06,False,EUR
ES7180164140775326248029,Corporate,95889.88,2023-04-30,False,GTQ
ES9035915227990431402931,Savings,53956.16,2024-04-27,True,EUR
ES0490571827778720653644,Checking,1778.74,2024-05-28,False,EUR
ES9014770809081211630725,Checking,9934.78,2023-01-29,True,EUR
ES5009225826965800743563,Savings,86082.26,2022-07-03,True,EUR
ES0422620647398985298515,Corporate,32401.25,2020-08-08,False,USD
ES9542882091495441470713,Checking,86778.01,2022-12-24,False,EUR
ES8900687551731692494324,Corporate,41883.17,2023-12-02,False,GTQ
ES0474967222975336995439,Checking,87799.36,2021-10-08,True,USD
ES2009100568815657785848,Corporate,26836.04,2021-03-22,True,EUR
ES2867469845298295419703,Checking,60609.48,2022-01-01,False,EUR
ES9747406023983988356312,Corporate,3707.74,2020-11-30,True,GTQ
ES0393612126817505978199,Corporate,19190.22,2023-03-09,False,GTQ
ES3283898432443310597935,Savings,1304.5,2022-02-21,True,GTQ
ES8288131340069102242660,Checking,32058.46,2022-05-22,True,USD
ES1290385419977085569362,Savings,25710.75,2021-11-13,True,GTQ
ES6530717697812952390242,Corporate,41621.3,2023-05-02,False,EUR
ES9291992882251588941497,Checking,87477.08,2022-03-22,True,EUR
ES2940670882802388131392,Savings,69059.22,2024-01-09,False,EUR
ES8766741639406195296896,Savings,9355.5,2020-05-23,False,USD
ES8936463761178975093006,Checking,87762.61,2025-02-12,True,USD
ES1539967498965507071389,Savings,92388.12,2020-08-12,True,USD
ES1461582275929172885842,Checking,20628.35,2020-04-02,True,USD
ES7339469383579794392067,Checking,62182.4,2021-12-20,False,USD
ES0988645520961603428725,Savings,95845.25,2020-07-31,True,GTQ
ES7994569314594447412430,Savings,2397.38,2024-11-03,False,EUR
ES9240719071384963112194,Corporate,49920.75,2022-05-13,True,GTQ
ES6886877065287776387877,Savings,19863.87,2021-02-24,False,EUR
ES8752310066940593797629,Corporate,49922.65,2023-11-10,True,EUR
ES6337228534766458825331,Savings,60408.2,2021-05-13,False,GTQ
ES8455242587300723256945,Corporate,19746.95,2024-05-21,True,EUR
ES5841303885434716821751,Savings,3848.54,2023-01-12,False,USD
ES9876250924681282418927,Corporate,45646.69,2023-05-05,True,EUR
ES5868428801462831944137,Corporate,68742.44,2023-08-03,False,USD
ES1515429364075034973809,Savings,47419.28,2024-08-16,False,GTQ
ES3737616638540724473065,Checking,68998.39,2024-07-19,False,GTQ
ES8524355576964248851262,Checking,73874.31,2024-04-24,False,USD
ES8633340801640470671163,Savings,56143.0,2022-05-15,True,EUR
ES9100092272393340080903,Savings,47622.31,2025-02-19,False,GTQ
ES3809114607377680045465,Corporate,96753.77,2022-10-09,True,USD
ES4234647742357488691671,Checking,50949.66,2024-06-25,False,EUR
ES5426635597844782897591,Checking,67454.94,2020-10-11,True,GTQ
ES2126682848204571642190,Savings,58468.2,2024-06-03,False,USD
ES7705940975407629603431,Corporate,49791.14,2022-02-18,False,EUR
ES6665453896242814777544,Savings,9875.15,2024-06-28,False,USD
ES0836776830092385679432,Checking,12567.36,2020-08-18,True,USD
ES7740333211337428045563,Checking,87296.28,2021-04-13,False,GTQ
ES5667304429230682099302,Checking,92697.47,2022-07-11,False,EUR
ES2840282611829761783968,Corporate,83129.33,2025-01-29,False,GTQ
ES2353288281232747518816,Checking,44141.76,2021-05-21,True,EUR
ES6508688179450793566277,Corporate,99461.94,2020-12-08,True,GTQ
ES3044534302535465235508,Corporate,64028.57,2021-08-27,False,USD
ES6902838451667050555580,Savings,15713.46,2024-02-14,True,USD
ES4391276652943115966127,Savings,47554.51,2024-02-04,True,GTQ
ES8384842317559198663060,Checking,44206.56,2024-10-02,False,USD
ES8817857129645246092699,Checking,36295.49,2022-01-04,False,EUR
ES7710714657980515729343,Checking,12136.6,2022-06-05,True,USD
ES1946209499682793251669,Checking,10264.21,2023-01-04,False,USD
ES0985634337057704746782,Savings,75243.73,2024-03-12,False,GTQ
ES9421710171672466810699,Corporate,58982.06,2023-05-23,True,GTQ
ES4451913596233072976283,Corporate,18876.32,2023-08-28,True,USD
ES5687489314955436175491,Checking,68013.94,2023-04-23,False,USD
ES4833375129241264134404,Checking,68449.92,2020-04-04,True,EUR
ES5094797621534199098191,Checking,59443.51,2021-03-07,True,EUR
ES3306463561558555389993,Savings,3858.58,2023-01-14,False,GTQ
ES4335102636238060390022,Corporate,48505.65,2020-04-07,False,GTQ
ES1377064559788593029008,Corporate,1574.73,2022-12-22,True,GTQ
ES1393736616650242033883,Corporate,95138.7,2023-02-10,False,GTQ
ES5760510089322228014529,Corporate,90780.96,2023-05-09,True,USD
ES7864546456027281064213,Savings,80354.24,2024-03-09,False,EUR
ES0496246162069913250400,Savings,74636.2,2024-08-23,False,USD
ES9695897649472656390864,Checking,26261.23,2022-02-03,True,EUR
ES1548569532026285522806,Savings,3030.69,2020-03-06,True,USD
ES4147117881588018161308,Checking,78169.76,2023-03-16,False,GTQ
ES3972946371326158755491,Corporate,16259.33,2024-07-04,False,EUR
ES7087829818272144442489,Checking,73853.04,2020-07-09,False,GTQ
ES7874871776324029786004,Corporate,13997.38,2021-04-11,True,EUR
ES9716548339968763778220,Corporate,20787.25,2024-01-08,False,EUR
ES1480469903016169494169,Checking,27579.46,2021-08-22,False,USD
ES6750562826318767611047,Checking,81288.44,2020-03-20,True,EUR
ES5159881318033110626407,Corporate,43175.69,2021-03-22,True,GTQ
ES1443609018530368203230,Checking,97353.91,2021-06-07,True,GTQ
ES8030795464180886557376,Corporate,71649.91,2020-12-31,False,GTQ
ES8187838621945608549507,Corporate,65075.31,2023-02-16,True,EUR
ES4609985468382670349378,Checking,44298.2,2022-07-02,False,EUR
ES7035125561343644775657,Savings,98434.44,2023-07-13,False,USD
ES3698012849164773578001,Corporate,43345.45,2024-09-12,True,GTQ
ES4486796469224656105536,Savings,91812.9,2020-09-19,True,GTQ
ES0752137474919547525637,Checking,41888.92,2023-05-11,False,GTQ
ES3887447495712033337469,Corporate,57279.34,2024-12-30,False,EUR
ES0248989348471896770967,Checking,58971.22,2024-06-14,True,USD
ES1351036753952159843727,Corporate,66496.25,2023-05-08,True,USD
ES2531132396586927724526,Checking,5480.61,2021-03-06,False,GTQ
ES9521192394443339767999,Checking,32080.69,2020-06-16,False,GTQ
ES5947754599702320928334,Checking,62757.23,2020-07-22,False,EUR
ES0349161197561917605433,Savings,21895.77,2022-07-01,True,GTQ
ES2987227224937989198027,Corporate,26672.45,2022-12-23,True,EUR
