accountNumber,branchCode,openHours,establishedYear
ES8858515439183191285680,BR-09866,"['20:47', '15:54']",1998
ES8184034594009344639351,BR-06363,"['00:17', '01:26']",1995
ES6210728895890435969556,BR-76567,"['15:22', '21:05']",2000
ES5835038710313743383461,BR-64012,"['09:55', '18:51']",1992
ES8797058202566205645495,BR-12728,"['11:14', '07:45']",2006
ES7289469983582399295254,BR-23826,"['09:36', '15:32']",2019
ES7580026456497212792836,BR-51162,"['05:22', '22:19']",1995
ES3360566251268451886930,BR-59470,"['16:10', '14:57']",2004
ES3876098266763105839553,BR-33047,"['05:08', '22:50']",2006
ES6387822735761068915372,BR-67645,"['04:14', '03:32']",2023
ES5109517735483354531846,BR-12610,"['07:57', '17:56']",2000
ES7103530185425668259683,BR-35232,"['07:54', '10:06']",2010
ES5526265312243854117710,BR-91544,"['07:30', '18:43']",2023
ES5891184555099834865499,BR-35232,"['20:47', '15:54']",1997
ES1965656315190921715898,BR-15319,"['04:24', '18:38']",2000
ES4407620377009955577023,BR-71032,"['12:17', '10:07']",2010
ES1756768247594137642017,BR-67645,"['01:17', '09:36']",2009
ES8703422197614861158219,BR-93804,"['23:07', '09:01']",1995
ES3856322805808326867713,BR-64012,"['20:38', '20:03']",2016
ES3231922905298584645593,BR-51686,"['10:16', '10:50']",1991
ES1956519747976435742370,BR-31589,"['15:59', '14:11']",1990
ES8343733204070314664762,BR-33534,"['23:07', '09:01']",1990
ES4349228928769356376410,BR-47149,"['19:23', '20:44']",1996
ES1491211862389316157683,BR-00594,"['22:00', '22:52']",2009
ES3381004318092404181322,BR-54802,"['21:22', '18:41']",2003
ES6263100982522105819760,BR-09518,"['07:19', '17:26']",2002
ES6696274749542121415260,BR-46995,"['08:49', '15:54']",2018
ES0278777943583566171480,BR-63831,"['04:39', '18:39']",1997
ES7925496606445412301717,BR-77943,"['20:38', '20:03']",2012
ES4005995233755325397933,BR-87340,"['08:28', '15:40']",1994
ES3366196692614475016148,BR-44827,"['13:05', '21:01']",2003
ES8623151584777979762247,BR-76567,"['20:02', '18:44']",2019
ES2444902503402518824458,BR-02860,"['02:26', '02:12']",2003
ES4729109918130259522487,BR-91544,"['01:20', '05:25']",2015
ES6531144831313082226109,BR-36784,"['03:54', '12:55']",2013
ES8499073831520023844667,BR-39871,"['22:00', '22:52']",1995
ES2263429450147915373366,BR-95096,"['18:56', '22:59']",1997
ES7662336988079123915112,BR-63831,"['13:13', '11:34']",2010
ES3062461109410646676593,BR-49773,"['05:13', '23:22']",2020
ES0930826946958376442101,BR-35054,"['00:11', '16:58']",2009
ES2991950578271905560251,BR-78944,"['14:39', '04:32']",2015
ES7341626074533787943578,BR-76567,"['05:02', '11:48']",2008
ES2647935377778717420582,BR-36082,"['11:14', '07:45']",1998
ES6181559804602084656246,BR-04892,"['20:51', '01:04']",1990
ES5662340348628144379039,BR-59619,"['22:02', '03:57']",2002
ES0992020535232046817997,BR-44827,"['12:37', '18:46']",2006
ES1024609358839386521254,BR-87784,"['11:31', '11:29']",2023
ES2621920460513166182184,BR-33047,"['07:04', '14:18']",2009
ES8307420949362047677875,BR-23826,"['23:05', '18:12']",2019
ES5248139972711987216510,BR-53407,"['02:42', '20:58']",2006
ES4942209721318960270950,BR-33047,"['17:33', '19:51']",2013
ES3196782120058167565212,BR-33047,"['22:30', '19:50']",1994
ES1828238194015326888498,BR-95096,"['23:05', '18:12']",2020
ES6988195482935797452522,BR-00594,"['07:54', '10:06']",2019
ES8641548635852664663153,BR-97370,"['04:14', '03:32']",2009
ES2330523053810848564299,BR-17919,"['08:49', '15:54']",1991
ES6502743394752687328124,BR-53407,"['15:59', '14:11']",2009
ES4784204608639019106905,BR-36082,"['04:48', '10:41']",2014
ES0746630552228740891140,BR-02860,"['12:37', '18:46']",2023
ES2649132277533120494233,BR-04892,"['09:56', '21:13']",1993
ES1926008958632373551829,BR-97370,"['01:17', '09:36']",1991
ES3256693110934442741302,BR-35054,"['10:16', '10:50']",2010
ES6814387554102544767122,BR-06363,"['23:07', '09:01']",2009
ES6304034195040318948760,BR-69748,"['19:23', '20:44']",1995
ES4279526641339518911363,BR-93804,"['09:36', '08:38']",2020
ES0828525634517756472684,BR-93804,"['20:53', '23:33']",2010
ES0691581871552464592133,BR-69748,"['20:47', '15:54']",2023
ES7146891851437401508768,BR-66075,"['14:29', '01:43']",1991
ES3927228281265090567901,BR-46395,"['12:03', '03:29']",2006
ES7224381933775534479749,BR-92688,"['22:00', '22:52']",1997
ES3485423244465861162500,BR-81309,"['07:57', '17:56']",1994
ES0859613824046107648791,BR-92688,"['11:14', '07:45']",1997
ES1866565166786509921641,BR-63831,"['20:02', '18:44']",1997
ES4637135697889873248923,BR-27654,"['02:26', '02:12']",1996
ES1139589136115711667537,BR-70960,"['22:00', '22:52']",2011
ES5092664253261666436423,BR-70960,"['20:02', '18:44']",2013
ES3843680619058632775896,BR-54802,"['00:04', '17:26']",2002
ES1255306512600814481000,BR-36784,"['15:15', '04:06']",2019
ES2320958449833500056315,BR-87724,"['23:55', '11:30']",2012
ES2947253995033114263176,BR-33047,"['21:22', '18:41']",1997
ES8079412509404978800303,BR-87891,"['23:58', '07:29']",2000
ES1855409799325418318504,BR-33610,"['15:59', '14:11']",1997
ES7278587213579164649956,BR-67645,"['04:46', '00:14']",2017
ES4841660495011982802884,BR-32909,"['09:36', '23:48']",2015
ES7227655281935185846824,BR-44487,"['09:56', '21:13']",2006
ES4105544107136257199945,BR-16884,"['20:38', '20:03']",2012
ES4717974986733998726052,BR-34639,"['07:57', '17:56']",1997
ES7372042202202404382446,BR-23826,"['07:30', '18:43']",2019
ES5784701673350546355970,BR-87891,"['10:38', '08:15']",1996
ES4341064946356027820523,BR-32978,"['12:54', '23:37']",1998
ES3805853147990579753099,BR-35232,"['23:55', '11:30']",2020
ES4309513593239395221412,BR-67645,"['03:54', '12:55']",1997
ES2383758411397772893103,BR-23028,"['09:36', '08:38']",2020
ES1791550426384843723579,BR-51686,"['12:54', '23:37']",1991
ES2268524577885809480910,BR-46395,"['02:42', '20:58']",2010
ES4066858025745201865553,BR-27758,"['12:43', '23:44']",1991
ES4815660343289553707550,BR-61372,"['21:22', '18:41']",1992
ES2937435104648660443254,BR-47149,"['13:05', '12:35']",2015
ES1435734052137295438736,BR-63831,"['20:02', '18:44']",2003
ES3663949441807293545502,BR-16746,"['18:03', '15:45']",1990
ES2173758587703300980689,BR-23826,"['04:46', '00:14']",1994
ES2272955746167112461117,BR-12610,"['06:28', '09:05']",1997
ES9115297422783437666600,BR-87784,"['15:15', '04:06']",2006
ES4597116725310942115961,BR-91544,"['20:40', '11:41']",1997
ES6952831768798184799123,BR-23826,"['00:11', '16:58']",2009
ES3131165484241562210304,BR-47149,"['07:08', '14:40']",2003
ES0477010383746609678880,BR-23621,"['00:11', '16:58']",2019
ES6379315505579219772866,BR-32909,"['21:22', '18:41']",2000
ES3351853655233464694338,BR-37852,"['07:30', '18:43']",2018
ES8165232745830084977914,BR-17919,"['19:23', '20:44']",2010
ES5230179509991648699748,BR-97370,"['14:29', '01:43']",1996
ES2323517618264992536777,BR-32909,"['12:03', '03:29']",1996
ES0770089204724029604252,BR-69748,"['02:42', '20:58']",2005
ES6412665522430946597589,BR-03135,"['04:39', '18:39']",1998
ES0475739697493382440323,BR-37852,"['00:32', '21:06']",2020
ES1025911867637584880183,BR-06330,"['07:57', '17:56']",2006
ES7771770336939629024944,BR-06330,"['12:54', '23:37']",1994
ES5206448923783702581670,BR-46395,"['09:56', '21:13']",1991
ES0714518365470328444413,BR-52206,"['15:08', '07:41']",2016
ES5586319985707294748911,BR-51686,"['07:59', '06:04']",1990
ES4997788396046253973578,BR-33047,"['06:25', '14:00']",1990
ES8705059932284342216694,BR-70960,"['11:12', '02:12']",1997
ES5322470174163202919279,BR-10307,"['05:08', '22:50']",1996
ES8226874597831573690560,BR-32909,"['09:56', '21:13']",2021
ES4933200311077598942385,BR-51162,"['15:08', '07:41']",2021
ES2608965622657249915501,BR-75513,"['08:54', '22:52']",1997
ES7740387598847819839301,BR-80428,"['21:22', '18:41']",2005
ES6281262589321311235531,BR-12728,"['07:54', '10:06']",1998
ES1279477089693885565810,BR-91544,"['16:09', '07:27']",2019
ES5013320635151448446453,BR-02752,"['21:22', '18:41']",2010
ES6909526600857207934871,BR-88974,"['03:54', '12:55']",2021
ES7133898985201376422757,BR-06363,"['07:57', '17:56']",2021
ES2293505118407064448938,BR-33335,"['04:46', '00:14']",1998
ES2114647590293118652776,BR-23621,"['12:54', '23:37']",2015
ES3754159817877811166526,BR-54802,"['00:11', '16:58']",1990
ES2183849012449864346701,BR-11314,"['20:38', '20:03']",1995
ES3489153859031191542953,BR-87724,"['21:22', '18:41']",2014
ES3825692808414529660603,BR-69634,"['08:49', '15:54']",1997
ES9255755033590586796030,BR-87724,"['04:46', '00:14']",2010
ES2279520101943827705735,BR-31360,"['05:02', '11:48']",1991
ES2551104730231501230843,BR-35054,"['10:16', '10:50']",2016
ES0760488832304265820745,BR-33335,"['21:22', '18:41']",2017
ES3341366568568872886297,BR-66075,"['10:39', '01:59']",2003
ES4032042695085247134748,BR-33335,"['02:26', '02:12']",1995
ES7406106506675333407079,BR-69748,"['04:14', '03:32']",2019
ES9124072292818445330363,BR-70960,"['03:54', '12:55']",2004
ES6731305350051803508866,BR-23826,"['02:12', '10:25']",2003
ES4585461925011323662068,BR-90780,"['19:46', '13:53']",2004
ES9116251818386016055174,BR-65148,"['02:26', '02:12']",2015
ES2691541123489001918283,BR-15319,"['00:56', '17:57']",2000
ES1835939052414214173306,BR-88974,"['12:03', '03:29']",2019
ES2974378130229079299954,BR-87891,"['02:12', '10:25']",1990
ES9551527276293850425223,BR-52206,"['00:32', '21:06']",2000
ES2672293933160964574052,BR-36784,"['23:05', '18:12']",2015
ES2315841346868154497471,BR-70960,"['15:22', '21:05']",2019
ES9162754585620034358446,BR-76567,"['23:07', '09:01']",2015
ES2707263065261532990050,BR-21828,"['00:17', '01:26']",1991
ES3942510652768487432136,BR-69634,"['02:42', '20:58']",2018
ES8471703774561937126869,BR-23826,"['04:46', '00:14']",1997
ES8499895513684070343469,BR-88974,"['08:28', '15:40']",1995
ES4909966177564620089067,BR-19471,"['15:31', '05:09']",1997
ES7234922205904191206147,BR-02252,"['11:14', '07:45']",2000
ES3452198279469298904737,BR-47302,"['09:29', '18:55']",1996
ES4714043038678186949406,BR-69634,"['08:33', '05:16']",2008
ES7729107768956311421285,BR-51162,"['09:36', '23:48']",2004
ES3897580474607185987703,BR-31589,"['20:51', '01:04']",2010
ES5056824525341992234645,BR-91544,"['15:15', '04:06']",2003
ES5143504341962983695383,BR-33047,"['11:31', '11:29']",2015
ES6514726992456217495954,BR-70960,"['13:05', '12:35']",2020
ES8670595456533448932599,BR-91544,"['12:43', '23:44']",2015
ES8772105547988481155699,BR-63758,"['14:39', '04:32']",2020
ES9151187317127232744212,BR-11314,"['05:22', '22:19']",2015
ES4817761077044282383738,BR-96818,"['05:02', '11:48']",2000
ES3760479923706739354937,BR-69748,"['00:17', '01:26']",2021
ES9620630151485562777796,BR-46995,"['14:39', '04:32']",2023
ES2489562849835289160499,BR-69633,"['11:12', '02:12']",2015
ES1347799652437274175229,BR-63758,"['09:55', '18:51']",2003
ES0900178392372263899802,BR-76567,"['01:57', '07:23']",1991
ES4959246107067748326989,BR-80428,"['18:20', '10:27']",2008
ES1967992440613548798679,BR-02252,"['09:36', '08:38']",2002
ES5553900553900154718040,BR-97370,"['19:31', '23:42']",1996
ES0361275371475155876321,BR-17919,"['13:05', '21:01']",1996
ES9818837057748099217580,BR-62011,"['15:59', '14:11']",2016
ES9229842031464894698541,BR-06363,"['07:59', '06:04']",2014
ES1641114264456812681891,BR-71032,"['01:17', '09:36']",1991
ES5523348827469414868688,BR-50883,"['22:30', '19:50']",1998
ES2386938027246736935262,BR-46995,"['15:31', '05:09']",1991
ES3854469931531802208141,BR-71032,"['10:59', '06:56']",1990
ES1486162054445894953500,BR-71032,"['00:17', '01:26']",1992
ES3273322752272831191055,BR-59470,"['20:53', '23:33']",1997
ES3474659833415498292438,BR-75513,"['11:31', '11:29']",2005
ES1310934212671246574374,BR-23826,"['02:23', '00:01']",2003
ES8062227088440607228496,BR-77236,"['06:31', '07:15']",1991
ES0932369878488019127078,BR-50348,"['00:11', '16:58']",1994
ES9247391537713432376618,BR-06363,"['07:57', '17:56']",2008
ES8941368590060314373722,BR-59619,"['15:31', '05:09']",2009
ES7266059434818966631141,BR-87891,"['02:42', '20:58']",2012
ES0285536231221586043412,BR-87784,"['07:04', '14:18']",2008
ES5049578284893190093173,BR-81309,"['12:43', '23:44']",1991
ES4008007400146076088628,BR-32909,"['12:54', '23:37']",1997
ES2041487772529175812558,BR-49773,"['05:22', '22:19']",2000
ES6689097243430868281079,BR-46995,"['22:54', '04:53']",2019
ES5849538449119810340207,BR-62011,"['15:22', '21:05']",1995
ES1778160038951054685432,BR-52206,"['03:54', '12:55']",2017
ES7869629011629833425696,BR-50883,"['04:24', '18:38']",1995
ES2741728738988597032200,BR-27654,"['23:55', '11:30']",2009
ES8173636240735630530731,BR-87340,"['09:36', '23:48']",2011
ES1900108504059946623108,BR-06330,"['20:38', '20:03']",2018
ES1653753485816153224621,BR-36082,"['19:31', '23:42']",2014
ES3142996280609202975611,BR-97370,"['01:20', '05:25']",2000
ES4671122008291042838092,BR-23621,"['20:38', '20:03']",2016
ES8830327189514185348674,BR-87784,"['03:54', '12:55']",2015
ES2213564865554045838077,BR-81309,"['19:46', '13:53']",1995
ES3824676931766289490791,BR-88974,"['18:29', '05:17']",2014
ES6848567141298404164020,BR-34639,"['06:25', '14:00']",2009
ES8160188565903347532683,BR-27758,"['18:20', '10:27']",1997
ES0523967906111322118731,BR-67645,"['09:56', '21:13']",1990
ES6226482805098618585485,BR-03970,"['19:46', '13:53']",2020
ES9734064746602963855805,BR-27758,"['15:22', '21:05']",1994
ES1930027049113832298487,BR-95096,"['00:11', '16:58']",2005
ES4228351343014472635525,BR-27758,"['23:07', '09:01']",2021
ES1662296735879005294558,BR-16746,"['20:02', '18:44']",2010
ES7707547646225407528126,BR-51162,"['06:28', '09:05']",2006
ES8442781693514328371228,BR-87784,"['20:40', '11:41']",2006
ES5514695386160532439566,BR-47302,"['18:55', '00:23']",1990
ES5325406448522928310486,BR-92688,"['11:12', '02:12']",1998
ES7802034266504097039029,BR-54802,"['00:17', '01:26']",2021
ES3578662248277519347711,BR-32909,"['23:05', '18:12']",2015
ES3658421150267033062848,BR-44487,"['13:05', '12:35']",2010
ES8555558255565484961746,BR-52206,"['06:25', '14:00']",1996
ES5849691462671268700339,BR-32909,"['07:08', '14:40']",2015
ES4417998374065391567844,BR-23028,"['18:20', '10:27']",2018
ES7964347594213026626598,BR-53407,"['12:37', '18:46']",1995
ES4102963442817154495374,BR-62011,"['09:36', '15:32']",2003
ES7076310850247541299087,BR-62011,"['23:58', '07:29']",2010
ES1961666159850370993558,BR-50883,"['07:39', '18:36']",1990
ES4038447944585471933218,BR-77943,"['02:12', '10:25']",2020
ES2506326268166775982201,BR-88974,"['16:29', '16:04']",1994
ES9836704131652278336974,BR-06363,"['20:38', '20:03']",1994
ES5523708869641107540586,BR-63758,"['11:14', '07:45']",2003
ES0278757066422030322797,BR-23826,"['07:30', '18:43']",2014
ES7459442496038211701269,BR-88974,"['02:42', '20:58']",1990
ES8596116550594973879014,BR-81309,"['18:03', '15:45']",1990
ES9473626625944376556457,BR-47302,"['07:39', '18:36']",1990
ES1264600247765451344924,BR-51686,"['21:22', '18:41']",1991
ES8928080545031617572626,BR-78944,"['08:49', '15:54']",2015
ES8906100541091767286106,BR-69633,"['22:54', '04:53']",1994
ES2933357859280488384816,BR-97370,"['19:46', '13:53']",1999
ES4258986851716024061156,BR-04892,"['10:38', '08:15']",1994
ES7389478173487907782685,BR-63831,"['11:09', '00:14']",2019
ES2071378570034908224800,BR-63831,"['10:38', '08:15']",2006
ES5735080262497121454491,BR-26756,"['20:53', '23:33']",2012
ES8460447359882703026512,BR-16746,"['00:32', '21:06']",2018
ES1423032833191389238432,BR-44487,"['05:09', '01:40']",2000
ES2011857811343102349508,BR-47149,"['11:12', '02:12']",2015
ES0839720947826201046784,BR-67645,"['20:53', '23:33']",1990
ES3745800070011883594048,BR-06330,"['20:53', '23:33']",2023
ES7364090695258749345517,BR-87784,"['07:57', '17:56']",2016
ES5128579874096185303105,BR-59619,"['06:28', '09:05']",1994
ES0970483249462025039188,BR-02860,"['18:56', '22:59']",1990
ES8590315636134093502658,BR-31360,"['18:03', '15:45']",2010
ES1091749413555013358449,BR-87340,"['13:05', '12:35']",2010
ES8894722273304743295132,BR-32978,"['05:02', '11:48']",2000
ES0622243748340843830591,BR-44827,"['20:51', '01:04']",1995
ES5418010976654172154505,BR-44827,"['07:19', '17:26']",2016
ES1559195354161371121799,BR-27654,"['19:16', '10:43']",2010
ES0800646638337701027832,BR-27758,"['18:55', '00:23']",2012
ES8220747398164202396753,BR-88974,"['23:58', '07:29']",2004
ES4591219591946935809590,BR-06363,"['17:33', '19:51']",1992
ES1260068123883033023406,BR-96818,"['06:25', '14:00']",1996
ES9551524160253810928880,BR-09866,"['04:39', '18:39']",1997
ES1857908661210321953380,BR-02860,"['09:46', '12:23']",2006
ES8068234576706561280126,BR-27654,"['23:45', '01:37']",2009
ES1847218831356945278530,BR-16884,"['14:39', '04:32']",2005
ES5102674134681609914802,BR-50348,"['09:56', '21:13']",2002
ES8538187992326036850030,BR-43674,"['03:35', '07:14']",2012
ES7113474038579839449997,BR-76567,"['12:54', '23:37']",1997
ES3852156921421739645930,BR-40385,"['05:22', '22:19']",1995
ES7180164140775326248029,BR-95096,"['07:57', '17:56']",1990
ES9035915227990431402931,BR-12610,"['09:46', '12:23']",1995
ES0490571827778720653644,BR-10307,"['23:05', '18:12']",2014
ES9014770809081211630725,BR-16746,"['12:54', '23:37']",1998
ES5009225826965800743563,BR-76567,"['05:02', '11:48']",2003
ES0422620647398985298515,BR-52206,"['16:10', '14:57']",2015
ES9542882091495441470713,BR-63831,"['04:48', '10:41']",2020
ES8900687551731692494324,BR-17919,"['19:31', '23:42']",1998
ES0474967222975336995439,BR-47302,"['18:29', '05:17']",1997
ES2009100568815657785848,BR-32978,"['08:28', '15:40']",1995
ES2867469845298295419703,BR-92688,"['00:04', '17:26']",1990
ES9747406023983988356312,BR-66075,"['07:57', '17:56']",1995
ES0393612126817505978199,BR-27758,"['05:09', '01:40']",1995
ES3283898432443310597935,BR-40385,"['07:39', '18:36']",2009
ES8288131340069102242660,BR-86309,"['01:20', '05:25']",2023
ES1290385419977085569362,BR-80428,"['03:35', '07:14']",2012
ES6530717697812952390242,BR-51686,"['08:33', '05:16']",1990
ES9291992882251588941497,BR-53407,"['07:30', '18:43']",2016
ES2940670882802388131392,BR-11314,"['07:08', '14:40']",2019
ES8766741639406195296896,BR-54802,"['17:35', '09:34']",2014
ES8936463761178975093006,BR-12610,"['09:46', '12:23']",2012
ES1539967498965507071389,BR-16746,"['20:40', '11:41']",1995
ES1461582275929172885842,BR-33610,"['06:25', '14:00']",1990
ES7339469383579794392067,BR-56029,"['05:22', '22:19']",2020
ES0988645520961603428725,BR-23028,"['07:59', '06:04']",2011
ES7994569314594447412430,BR-47149,"['02:42', '20:58']",2003
ES9240719071384963112194,BR-46395,"['11:31', '11:29']",2021
ES6886877065287776387877,BR-44487,"['20:40', '11:41']",1995
ES8752310066940593797629,BR-59619,"['07:08', '14:40']",2012
ES6337228534766458825331,BR-34639,"['01:57', '07:23']",1998
ES8455242587300723256945,BR-44487,"['11:12', '02:12']",1991
ES5841303885434716821751,BR-95600,"['01:57', '07:23']",2003
ES9876250924681282418927,BR-16746,"['04:24', '05:53']",1991
ES5868428801462831944137,BR-75513,"['16:10', '14:57']",2010
ES1515429364075034973809,BR-09866,"['17:33', '19:51']",2006
ES3737616638540724473065,BR-23028,"['20:02', '18:44']",1995
ES8524355576964248851262,BR-70799,"['20:40', '11:41']",1995
ES8633340801640470671163,BR-90780,"['00:56', '17:57']",2011
ES9100092272393340080903,BR-59470,"['15:59', '14:11']",2000
ES3809114607377680045465,BR-23621,"['08:28', '15:40']",1997
ES4234647742357488691671,BR-76567,"['05:22', '22:19']",2014
ES5426635597844782897591,BR-26756,"['02:12', '10:25']",1996
ES2126682848204571642190,BR-92688,"['22:00', '22:52']",2005
ES7705940975407629603431,BR-80428,"['10:16', '10:50']",2008
ES6665453896242814777544,BR-15319,"['23:05', '18:12']",2003
ES0836776830092385679432,BR-33335,"['05:13', '23:22']",1996
ES7740333211337428045563,BR-64012,"['19:23', '20:44']",2006
ES5667304429230682099302,BR-87784,"['15:59', '14:11']",1998
ES2840282611829761783968,BR-15319,"['13:05', '21:01']",2009
ES2353288281232747518816,BR-06363,"['07:08', '14:40']",1995
ES6508688179450793566277,BR-16884,"['22:00', '22:52']",1998
ES3044534302535465235508,BR-66075,"['19:23', '20:44']",2012
ES6902838451667050555580,BR-91544,"['03:54', '12:55']",1998
ES4391276652943115966127,BR-12728,"['05:02', '11:48']",1997
ES8384842317559198663060,BR-67645,"['12:43', '23:44']",2019
ES8817857129645246092699,BR-63758,"['11:14', '07:45']",2010
ES7710714657980515729343,BR-44487,"['01:17', '09:36']",2012
ES1946209499682793251669,BR-51162,"['23:45', '01:37']",1997
ES0985634337057704746782,BR-35232,"['13:13', '11:34']",1997
ES9421710171672466810699,BR-47149,"['06:28', '09:05']",2019
ES4451913596233072976283,BR-51686,"['18:56', '22:59']",2021
ES5687489314955436175491,BR-97370,"['16:09', '07:27']",2013
ES4833375129241264134404,BR-62011,"['11:12', '02:12']",1997
ES5094797621534199098191,BR-66075,"['00:56', '17:57']",2013
ES3306463561558555389993,BR-96818,"['08:28', '15:40']",1997
ES4335102636238060390022,BR-96818,"['23:55', '11:30']",2009
ES1377064559788593029008,BR-06330,"['13:05', '21:01']",2000
ES1393736616650242033883,BR-15319,"['16:09', '07:27']",1997
ES5760510089322228014529,BR-03970,"['09:29', '18:55']",2020
ES7864546456027281064213,BR-02752,"['09:55', '18:51']",2021
ES0496246162069913250400,BR-09518,"['11:09', '00:14']",1995
ES9695897649472656390864,BR-04892,"['07:19', '17:26']",1996
ES1548569532026285522806,BR-87724,"['01:17', '09:36']",2011
ES4147117881588018161308,BR-70799,"['05:02', '11:48']",1997
ES3972946371326158755491,BR-35232,"['12:03', '03:29']",1990
ES7087829818272144442489,BR-43674,"['03:35', '07:14']",2008
ES7874871776324029786004,BR-54802,"['15:31', '05:09']",1991
ES9716548339968763778220,BR-16802,"['02:12', '10:25']",2015
ES1480469903016169494169,BR-69633,"['00:11', '16:58']",2000
ES6750562826318767611047,BR-64012,"['08:33', '05:16']",1995
ES5159881318033110626407,BR-87891,"['12:03', '03:29']",2002
ES1443609018530368203230,BR-63831,"['16:29', '16:04']",1994
ES8030795464180886557376,BR-87724,"['08:49', '15:54']",1991
ES8187838621945608549507,BR-88974,"['21:22', '18:41']",1990
ES4609985468382670349378,BR-10307,"['15:31', '05:09']",2010
ES7035125561343644775657,BR-65148,"['09:29', '18:55']",2006
ES3698012849164773578001,BR-00594,"['20:53', '23:33']",2000
ES4486796469224656105536,BR-69633,"['23:45', '01:37']",2005
ES0752137474919547525637,BR-39871,"['06:28', '09:05']",2018
ES3887447495712033337469,BR-43674,"['12:03', '03:29']",2000
ES0248989348471896770967,BR-97370,"['18:03', '15:45']",2015
ES1351036753952159843727,BR-16884,"['22:54', '04:53']",1994
ES2531132396586927724526,BR-50348,"['22:30', '19:50']",2013
ES9521192394443339767999,BR-47302,"['12:03', '03:29']",2000
ES5947754599702320928334,BR-51686,"['23:07', '09:01']",2023
ES0349161197561917605433,BR-69633,"['12:03', '03:29']",1995
ES2987227224937989198027,BR-70799,"['10:39', '01:59']",2008
ES2190783047934201879687,BR-10307,"['07:39', '18:36']",1997
ES9065300877654142720795,BR-17362,"['05:08', '22:50']",2006
ES6391482763265324546600,BR-17919,"['04:46', '00:14']",2005
ES9551558648859107434466,BR-36784,"['04:48', '10:41']",1994
ES2397764081572739022947,BR-88974,"['10:59', '06:56']",2015
ES2104039948748499734175,BR-26756,"['00:32', '21:06']",2006
ES7714248249229343840887,BR-02252,"['04:46', '00:14']",2021
ES0332544563993097090856,BR-51686,"['02:26', '02:12']",1997
ES5576839922237225635165,BR-46995,"['23:05', '18:12']",1997
ES0345858616047290418905,BR-50348,"['15:15', '04:06']",2015
ES4856125206350359121167,BR-95096,"['01:57', '07:23']",2019
ES2362218206108808747092,BR-66075,"['05:09', '01:40']",2003
ES6554979810448968727736,BR-97370,"['13:05', '12:35']",2018
ES6339269988906350508346,BR-40385,"['12:03', '03:29']",1997
ES0476918493869578038243,BR-40385,"['08:28', '15:40']",2010
ES1036926724253675300601,BR-51686,"['12:54', '23:37']",1990
ES4403689801095032914474,BR-16746,"['07:59', '06:04']",2019
ES6017480049775942907987,BR-78944,"['11:12', '02:12']",1990
ES5439670030329775651848,BR-06330,"['19:31', '23:42']",2010
