accountA,accountB,linkageType,confidenceScore,detectedAt
ES4754154953629730611643,ES2345971670373055230451,sharedDevice,1,2025-01-17
ES5134268131329680964287,ES0764182509724926081758,sharedDevice,1,2025-02-06
ES5613457083640888675663,ES7817784621571201478815,sharedDevice,1,2025-02-15
ES8536556231976531194048,ES3912819247436910314045,commonOwner,1,2025-02-08
ES6999763226590064130998,ES3757206038682510475386,sharedDevice,1,2025-01-15
ES0647084976412716357368,ES5523708869641107540586,commonOwner,1,2025-01-24
ES2071537238518135918145,ES6731305350051803508866,sharedDevice,1,2025-01-17
ES8659762387039383986670,ES4185913772625820613409,commonOwner,1,2025-01-19
ES2738375780074574012280,ES7870763603814157174765,commonOwner,1,2025-01-07
ES1309773841062547288618,ES2657065106341599856514,suspiciousActivity,1,2025-02-14
ES5902804910874772027658,ES9460885298075418556577,sharedDevice,1,2025-01-23
ES8663025868304825447678,ES9380744944305369846925,commonOwner,1,2025-02-18
ES4591027583365085698762,ES8018114554177853427860,sharedDevice,1,2025-02-20
ES3969503471863011439505,ES5096484075144215470968,commonOwner,1,2025-02-12
ES3757206038682510475386,ES1182057138470823559257,sharedDevice,1,2025-01-09
ES2884152174042968916803,ES5426635597844782897591,sharedDevice,1,2025-02-21
ES5908645044766020984255,ES5206448923783702581670,suspiciousActivity,1,2025-02-23
ES5026099521519272994053,ES7874871776324029786004,commonOwner,1,2025-01-24
ES2271508386638111417859,ES1366961813063243717279,sharedDevice,1,2025-02-16
ES4709642047815833996834,ES8136813806509360967469,suspiciousActivity,1,2025-01-24
ES3127331040469252122121,ES8785133353179836864268,sharedDevice,1,2025-02-19
ES4150819450766804186098,ES2183849012449864346701,sharedDevice,1,2025-01-09
ES1857908661210321953380,ES3019601837794578475471,commonOwner,1,2025-02-15
ES4729109918130259522487,ES5056021490644299973422,commonOwner,1,2025-01-14
ES8685829536624724312451,ES6127392591372125998173,sharedDevice,1,2025-01-10
ES8900687551731692494324,ES0254487940451090873844,sharedDevice,1,2025-01-12
ES7544499915143153728477,ES4800438012097482159348,commonOwner,1,2025-01-14
ES4205711583941226437541,ES1433379299732775142793,suspiciousActivity,1,2025-01-29
ES2451873976399183772322,ES2742539596207874570221,sharedDevice,1,2025-02-21
ES8140996845588376520899,ES8300665798817943000205,sharedDevice,1,2025-01-22
ES6836734527293868664265,ES5879523531570968647901,suspiciousActivity,1,2025-02-15
ES7146891851437401508768,ES7714248249229343840887,commonOwner,1,2025-01-29
ES4381095708773026845715,ES2031539104657865983904,commonOwner,1,2025-02-24
ES8214152689700927988439,ES2190783047934201879687,commonOwner,1,2025-02-09
ES7601309909378698310061,ES6016109065427838689030,commonOwner,1,2025-02-11
ES5056021490644299973422,ES2696489416476898728879,sharedDevice,1,2025-02-09
ES4071840474767686829916,ES3724769966395488944717,commonOwner,1,2025-01-11
ES1856586120487704849732,ES5118483061527090783173,suspiciousActivity,1,2025-01-18
ES1174919517809411964614,ES7183441184861734027582,commonOwner,1,2025-02-25
ES8759927023236844451378,ES5420741187502679744837,sharedDevice,1,2025-01-25
ES5864422526821722114468,ES4318154408987647612256,sharedDevice,1,2025-02-05
ES8261244268232787202081,ES9299543965757897123283,commonOwner,1,2025-02-15
ES0970483249462025039188,ES9811143058390449615952,commonOwner,1,2025-02-19
ES6466596670928432600566,ES0828525634517756472684,commonOwner,1,2025-01-16
ES2583075179073033870050,ES1279477089693885565810,suspiciousActivity,1,2025-02-04
ES3593425795708328441153,ES9829441051127097801805,commonOwner,1,2025-02-10
ES3909212306272101365805,ES1393736616650242033883,commonOwner,1,2025-01-27
ES4861793984992011321212,ES2625766207046894896321,suspiciousActivity,1,2025-01-10
ES3719884990127588583777,ES5473965443806688087510,sharedDevice,1,2025-01-27
ES6988195482935797452522,ES4671122008291042838092,commonOwner,1,2025-01-19
ES6662736078332358367379,ES3365133776964766704573,suspiciousActivity,1,2025-01-14
ES9421710171672466810699,ES8674420862456258048649,sharedDevice,1,2025-02-22
ES3235010978244854544283,ES7950528296982669265754,suspiciousActivity,1,2025-01-04
ES5920397484750775847455,ES2477556152604154111186,sharedDevice,1,2025-01-24
ES2691541123489001918283,ES7450917481869488530961,sharedDevice,1,2025-01-28
ES7120234426294357863021,ES3362858153155900337895,suspiciousActivity,1,2025-01-12
ES8356827820548510406726,ES8253636325153192388652,sharedDevice,1,2025-01-10
ES1879692392441981432102,ES5290107939421875510822,suspiciousActivity,1,2025-01-26
ES9247656567952907951984,ES4707567661224499143550,sharedDevice,1,2025-01-22
ES3215288565109695722457,ES9025668951585071000743,commonOwner,1,2025-02-04
ES2697654561555436082733,ES6427302031535675370062,sharedDevice,1,2025-02-10
ES8430167060965371270842,ES8602522756199717989035,suspiciousActivity,1,2025-01-14
ES4253604153608723724140,ES2188254958318654776235,suspiciousActivity,1,2025-02-17
ES7620905558895418480269,ES8694399505959591858057,suspiciousActivity,1,2025-02-17
ES5849691462671268700339,ES2249628900000006512087,suspiciousActivity,1,2025-02-19
ES9747406023983988356312,ES6673401745156104461362,suspiciousActivity,1,2025-02-19
ES3843680619058632775896,ES9883472324867801327767,commonOwner,1,2025-02-18
ES7921864976645843464013,ES7339469383579794392067,commonOwner,1,2025-01-19
ES7889305909459363559506,ES7601309909378698310061,suspiciousActivity,1,2025-01-26
ES3471520689603063726770,ES2503738528188098138333,suspiciousActivity,1,2025-02-12
ES7726777831654942123754,ES6282596111490483490002,commonOwner,1,2025-01-30
ES2757246552698605128252,ES3209586628674159951371,commonOwner,1,2025-01-22
ES2805381208960575879491,ES4139069286371186502031,sharedDevice,1,2025-02-17
ES3808994756541461626819,ES1139589136115711667537,suspiciousActivity,1,2025-02-15
ES7921864976645843464013,ES3420240665491075987601,suspiciousActivity,1,2025-02-17
ES1186070690122021761306,ES4112949422539290362990,suspiciousActivity,1,2025-02-03
ES0771663225732321594056,ES3471520689603063726770,suspiciousActivity,1,2025-01-16
ES1967992440613548798679,ES4959246107067748326989,suspiciousActivity,1,2025-02-23
ES7812273604355583672892,ES1161302834530329978522,sharedDevice,1,2025-02-14
ES4974971716387435346868,ES5955562019834998893192,sharedDevice,1,2025-01-01
ES3340661764492470050697,ES4705269978492857600720,suspiciousActivity,1,2025-01-03
ES7661597626888420085296,ES1768544835979642249293,sharedDevice,1,2025-01-16
ES5879523531570968647901,ES9620630151485562777796,sharedDevice,1,2025-01-01
ES6945146569512823639477,ES5128579874096185303105,suspiciousActivity,1,2025-01-11
ES8175047264413282776410,ES0979083610228001321451,commonOwner,1,2025-01-29
ES2757246552698605128252,ES5215060083282736454588,sharedDevice,1,2025-02-21
ES7403929817006442528406,ES2274418616415177983877,suspiciousActivity,1,2025-01-10
ES4645162730274781554017,ES4061170123216256342758,sharedDevice,1,2025-02-23
ES6337854064657423717933,ES6508688179450793566277,sharedDevice,1,2025-01-16
ES4513979835584243090405,ES6346485131965424487185,sharedDevice,1,2025-01-30
ES3737881370348599900573,ES2843901350441752862356,sharedDevice,1,2025-02-10
ES7726777831654942123754,ES6614476321468323087289,commonOwner,1,2025-02-11
ES1967992440613548798679,ES5358039231093948068921,commonOwner,1,2025-02-13
ES6279383378791178670648,ES9384121935146949451386,suspiciousActivity,1,2025-02-04
ES0562758913841282997146,ES5092664253261666436423,sharedDevice,1,2025-01-22
ES6068053239642389884407,ES7441002263992259672653,sharedDevice,1,2025-01-25
ES6232278487341606092940,ES4150819450766804186098,sharedDevice,1,2025-01-27
ES1995935487506337225289,ES2301684703467592481010,suspiciousActivity,1,2025-02-20
ES8161162828070527039191,ES1422049176798560292008,sharedDevice,1,2025-01-02
ES9124072292818445330363,ES7408716408315125030600,sharedDevice,1,2025-01-27
ES3000407067917644597871,ES0278777943583566171480,sharedDevice,1,2025-01-07
ES2495616905219965625840,ES4407620377009955577023,suspiciousActivity,1,2025-01-26
ES3185750866571689087030,ES3664664901865592801643,commonOwner,1,2025-01-20
ES6195287096722911887109,ES1139589136115711667537,suspiciousActivity,1,2025-01-31
ES1257700814371449476303,ES3724769966395488944717,sharedDevice,1,2025-02-06
ES7409631892748437633301,ES1285551796241303709871,sharedDevice,1,2025-02-05
ES7575935681644097088557,ES5247692976747822955613,sharedDevice,1,2025-01-20
ES8136637648725203337753,ES9240719071384963112194,commonOwner,1,2025-01-07
ES2137250440586916712389,ES8641548635852664663153,sharedDevice,1,2025-02-20
ES0276643357277334455389,ES3509446678256558378884,suspiciousActivity,1,2025-02-02
ES0660728322655807825482,ES2863274714713886694668,commonOwner,1,2025-01-15
ES6304034195040318948760,ES4536156963683347271608,suspiciousActivity,1,2025-02-15
ES3485423244465861162500,ES5784701673350546355970,suspiciousActivity,1,2025-02-12
ES3624241517788925819023,ES2819986285352080976655,suspiciousActivity,1,2025-02-24
ES9547331781548059571798,ES0425644270258800306276,suspiciousActivity,1,2025-02-17
ES2226350606026274502572,ES9811296749488686762763,commonOwner,1,2025-02-02
ES5680141750338652059699,ES9407297851812263976895,commonOwner,1,2025-02-08
ES2907977957935828135573,ES1198565085688994143608,sharedDevice,1,2025-01-26
ES4105544107136257199945,ES3787195094775952400898,sharedDevice,1,2025-01-08
ES4320981450409098702395,ES5418010976654172154505,sharedDevice,1,2025-01-09
ES0285536231221586043412,ES6886877065287776387877,suspiciousActivity,1,2025-01-25
ES8729291962045984607697,ES9689997341067194392167,suspiciousActivity,1,2025-01-10
ES2315841346868154497471,ES6626179580164207865822,suspiciousActivity,1,2025-02-10
ES6167210746204793748474,ES6832776788161294260909,sharedDevice,1,2025-02-08
ES8006206008714636660461,ES2436688681553225127270,sharedDevice,1,2025-02-07
ES2034421564008411495192,ES1443609018530368203230,commonOwner,1,2025-02-12
ES3854469931531802208141,ES2940854012187000241842,commonOwner,1,2025-01-06
ES6856238267063602087545,ES9114983511815952719875,suspiciousActivity,1,2025-02-09
ES4721449003568954099982,ES3805853147990579753099,sharedDevice,1,2025-02-17
ES9229842031464894698541,ES3970270121642476968991,suspiciousActivity,1,2025-02-11
ES2608965622657249915501,ES0979083610228001321451,commonOwner,1,2025-02-11
ES5667304429230682099302,ES3444387743879646223885,sharedDevice,1,2025-01-23
ES6776288265773877889469,ES3854469931531802208141,suspiciousActivity,1,2025-02-06
ES3707942721167129211540,ES7076310850247541299087,suspiciousActivity,1,2025-02-03
ES9261487901611882873499,ES7722517245673086813420,commonOwner,1,2025-02-01
ES9067616623792535414637,ES3745800070011883594048,sharedDevice,1,2025-01-19
ES3209586628674159951371,ES2495616905219965625840,sharedDevice,1,2025-02-13
ES3852156921421739645930,ES2725578089498971423736,commonOwner,1,2025-01-05
ES7949126162076345930615,ES4603719334719166621380,suspiciousActivity,1,2025-01-26
ES3063463560484280933024,ES8623151584777979762247,sharedDevice,1,2025-01-31
ES3200149142199138602156,ES2068967898839454346306,sharedDevice,1,2025-02-12
ES5013320635151448446453,ES5725826054934688931276,suspiciousActivity,1,2025-01-12
ES7045757407278798084622,ES4258986851716024061156,commonOwner,1,2025-01-27
ES2171449656321763387596,ES1285551796241303709871,suspiciousActivity,1,2025-01-10
ES5211258329780816395339,ES8536556231976531194048,commonOwner,1,2025-01-07
ES7409631892748437633301,ES3923140348986509811915,sharedDevice,1,2025-01-19
ES6337228534766458825331,ES5519913544640731010360,sharedDevice,1,2025-01-31
ES3938591314710418772010,ES6348584394710174090420,sharedDevice,1,2025-01-06
ES9738604271290946906124,ES0609249267350678182195,commonOwner,1,2025-02-17
