accountNumber,deviceId,lastUsed,frequency,isVerified
ES2933260650477411352623,49c2e9ca-e0ea-40cc-a7c7-9613ba0547e9,2025-01-14 04:32:29.632690,29,False
ES7877704726562020501074,071bb548-17c3-4e80-835c-d4a71731bf4d,2025-02-06 06:35:21.168542,50,False
ES7984099417693606785508,607aefcb-ac9e-44fa-8265-ffff41abf5f1,2025-01-22 11:59:06.055269,90,False
ES5523708869641107540586,ebad5f42-ac04-4d29-80cb-609590dce01d,2025-01-12 04:06:42.352868,52,True
ES1629263410000841886696,fa516bc8-72ca-43f6-b0b2-c8efd65d5920,2025-01-14 15:42:46.641063,35,True
ES6453319451349594626385,8945445f-e056-469c-9d0c-b335fef7f9eb,2025-02-07 22:28:17.647493,85,True
ES8208339435322743646164,837d18bf-de26-4bc7-83db-efe17b3680c6,2025-01-29 14:19:45.638690,29,True
ES7662336988079123915112,d29058ed-5248-4b27-bd9d-538b63ec1ba3,2025-02-25 05:57:42.830713,76,True
ES5576839922237225635165,fb14896e-a63e-46b5-991a-c3b1aa75f529,2025-01-22 17:24:05.070771,28,True
ES5373050434098969718326,5d431013-9792-4920-afae-0406d292657b,2025-01-20 01:34:43.515650,63,True
ES8136813806509360967469,520d2bc0-b4c7-4e03-b144-0240cad5484e,2025-02-16 07:35:11.804746,47,False
ES0701912530578430656731,3d929011-dec2-4923-bbc0-3c7547076035,2025-02-15 00:41:07.143594,24,True
ES5553900553900154718040,a0d7c8b3-2b92-4b68-ab4c-76ce2d83a650,2025-01-15 19:52:22.513904,59,True
ES3235010978244854544283,7ed1d52b-7aef-40de-bd20-49d8688d6ed8,2025-01-03 09:56:36.666292,19,False
ES9077694587474139728906,e9d3f77d-a89f-4cf3-95ef-cad561584b92,2025-01-17 16:59:27.927851,74,False
ES3912819247436910314045,6fe0a026-9287-4400-9120-9b6e2cf288eb,2025-01-11 18:54:38.287354,43,True
ES4398665123083559668594,de115146-1880-4179-8dd0-ef63d8fac30d,2025-01-18 18:40:46.194720,46,False
ES6017480049775942907987,2353e9dd-7bb4-425d-beaa-9c70f2bd0a72,2025-02-03 21:37:45.106129,39,False
ES1609600827336176095117,6b39f533-f817-43bf-b5ab-2565ef3b16b9,2025-01-23 15:48:51.423167,1,True
ES9387995450504095748983,2184b615-4d96-4608-a7fc-1822d27c353f,2025-01-02 00:05:58.538971,58,False
ES7408716408315125030600,816ae339-183e-46d8-a67d-b04accd14200,2025-01-16 08:01:20.036309,86,True
ES7014270856056787601225,c90f4eab-61ab-431b-81db-7fd4d964d6ab,2025-01-07 20:33:08.806900,83,False
ES5014019604500434059643,d6946c21-469b-4aa5-9834-2c47ae213293,2025-01-20 18:53:08.630686,84,True
ES5837329656642811585973,5a26665a-2039-4992-a2d9-2c9690fa070c,2025-02-12 10:42:50.347286,53,True
ES3051605242011717336397,6c3b2a95-b7ed-41f6-a5a6-d06554ebc8a5,2025-02-04 18:45:14.013856,90,True
ES1335947786482437580896,f263c77e-16a1-484d-a8a9-f8a7ff1adaa8,2025-02-19 13:03:25.204855,74,True
ES5412651062512929070826,cf20398b-7bc9-45cc-ad20-4a5a7c2b6422,2025-01-04 14:10:52.383161,70,False
ES3495562918417094267865,d8d36d4d-194f-404c-a352-7a5b45d163e0,2025-02-07 07:37:14.173779,55,False
ES4061170123216256342758,4c8fa80d-4018-4820-b3b5-a0e494f70802,2025-01-30 01:06:29.425474,55,True
ES0347057638213024351711,3c93d098-b6d3-492d-813d-eb775113fed5,2025-02-20 14:27:19.827397,50,True
ES2732816690151124698902,8607aed9-8154-4765-8f94-7a1206157d84,2025-02-17 00:31:50.794157,17,False
ES1880012972530079705880,9abdb1d0-e38f-402c-8139-270d49cf8cdb,2025-01-15 18:42:51.883518,2,True
ES8605453665920833159312,cb12a16a-cc54-494c-a986-c547cef60515,2025-02-08 22:17:25.726242,58,False
ES2071537238518135918145,da0e0a5f-d197-4378-bc90-537345d5eca0,2025-02-13 22:50:02.440646,33,True
ES3889339327436555381925,99612011-e4dc-4edb-98a2-201c4335db18,2025-01-18 00:02:07.542765,36,True
ES3539780326206878294923,e03c590d-b64e-434e-9d89-cd11a222a6cb,2025-01-08 03:32:18.275252,66,True
ES0808790293931081408951,5d431013-9792-4920-afae-0406d292657b,2025-02-09 11:03:35.307598,74,True
ES8471703774561937126869,bbc73b85-9d1b-4823-be43-acc147906080,2025-02-24 18:51:26.014107,59,False
ES4673249494832365118759,0732ab76-02b5-4645-820d-5ef697fa07c4,2025-01-16 22:07:42.251134,70,True
ES1188046397425723754489,2a4eb040-d419-48ce-98d8-575e2193a536,2025-02-03 20:56:54.268060,83,False
ES6984257033000986378169,b7da4848-b787-4be9-917f-89bbe18aaa35,2025-02-12 02:40:53.663591,64,False
ES8437844063728676234868,343d5364-c6ba-4024-aa70-1588c0a00efc,2025-02-17 21:50:56.262419,75,False
ES8830327189514185348674,aa2e2ff1-2903-4751-90b4-fe28128aeced,2025-02-19 00:55:11.259868,67,True
ES6944917967329929588040,4ab82aae-79a4-47ec-b91b-da2fb02120dd,2025-02-10 22:13:43.155668,91,True
ES2839476417096741662273,08285ac2-a89e-40fe-8e40-7cf60b1e7912,2025-02-23 12:05:14.515048,34,True
ES1960724093363428167272,85259b21-78de-4946-ac55-2bb3c764c377,2025-01-22 01:30:58.240926,71,True
ES7802034266504097039029,ba997cb8-ec1f-44ac-b09b-97b7acf41237,2025-01-01 20:57:18.903621,72,True
ES2011857811343102349508,85259b21-78de-4946-ac55-2bb3c764c377,2025-02-11 21:58:08.371955,23,False
ES5864422526821722114468,2f07a8ff-5418-4f6b-8e86-8040888538e2,2025-02-06 07:50:42.191375,50,False
ES1279477089693885565810,bf2e20a7-3580-48c6-ae04-c3d87f5157c9,2025-01-20 15:20:07.081400,90,False
ES7544499915143153728477,dbd7b8ca-f752-417f-a8cd-39805644cac1,2025-01-23 07:31:14.496368,61,False
ES2554405835570318979256,bdc09a35-239a-4fae-967a-fe9bebefff7f,2025-01-09 22:45:58.946647,51,False
ES8817857129645246092699,4d381f5d-655a-4780-9963-c1b7b3ec0bf2,2025-01-01 02:48:55.475111,52,False
ES5363200192253803546268,434a41ce-a658-44b5-ad25-cc403d363ea6,2025-02-23 02:21:17.529126,7,False
ES0770565637747030338825,28de415f-1214-41fb-a4e9-2275202e77a7,2025-01-14 16:17:05.012736,70,True
ES8187838621945608549507,6cf77e7e-b4c7-48f8-9e81-71ea3949e527,2025-01-29 08:05:32.985024,74,True
ES4609985468382670349378,ed394586-9c56-4469-8d9d-886d90c7e224,2025-02-22 14:59:18.533703,87,False
ES6387822735761068915372,3d929011-dec2-4923-bbc0-3c7547076035,2025-02-07 08:46:20.107253,74,True
ES5094797621534199098191,0f2e921e-3ff3-4a4a-a4c4-4e4c2fa275ae,2025-01-09 04:15:19.698232,51,True
ES3238481116117811559372,52b49a7f-4f9e-43cd-af53-19a1e76e2f9f,2025-01-24 01:32:21.155309,99,False
ES0768436012198786977943,a00fecee-f624-45e6-bc81-caa01a7f389f,2025-01-22 05:46:25.492409,47,False
ES7870775599902132489880,33c5dbfe-9798-4804-9bd0-d9be2752d4dd,2025-01-07 02:59:18.174406,38,True
ES0667433592664206536557,ea59093d-e118-4897-94c6-836ec86d773a,2025-01-31 10:41:38.543286,41,False
ES0959757367122906552134,0fdca68b-7ebf-476f-a539-6eb6d0bbf619,2025-02-04 20:50:04.108381,87,False
ES5109517735483354531846,c3a2ff53-572e-439d-bbe7-09507898b55e,2025-02-15 01:29:30.559946,42,False
ES0446348157639946000737,990ab483-559e-4155-96ba-c77177104d67,2025-01-18 13:43:19.941876,7,True
ES2478233592091157035051,50357b4e-19ef-49d3-bbc7-979b9a7fe94e,2025-02-24 22:14:45.903914,50,False
ES3199441882974936138270,48471968-7c48-4380-9378-176b53c8c403,2025-02-16 13:28:47.210019,76,False
ES1400360655132802020610,a6ad97e2-8a95-4665-80f9-0bf92b62c755,2025-01-04 14:40:47.688846,77,False
ES0965474317577533196813,b6d7bfca-f519-4a3d-a409-698a7e71c196,2025-01-20 02:26:07.418670,15,True
ES8377269036225078128063,4475dec8-792f-45d3-b06e-52e4147616f4,2025-02-24 15:29:37.151692,53,True
ES6426707406838594620426,5c7cb400-2d54-48dc-82f2-198e1645c921,2025-01-08 15:56:41.792061,92,True
ES8071236393793010967519,3fe18aee-6f11-4623-81ba-d23f553b00ac,2025-02-18 08:34:56.707471,6,True
ES0771663225732321594056,35ff58cf-60c2-4aa0-b0b3-c43fe15d3c36,2025-02-07 16:30:47.639964,58,False
ES0499076527365304407223,837d18bf-de26-4bc7-83db-efe17b3680c6,2025-01-17 17:03:16.646823,50,True
ES0828525634517756472684,d4113ba5-e411-4c61-af6f-3d5b765091bf,2025-02-22 01:17:51.223183,21,True
ES3876098266763105839553,d8d36d4d-194f-404c-a352-7a5b45d163e0,2025-01-19 23:53:28.952738,32,False
ES8547396786030653213514,e44f7b7e-2904-4ecd-9829-e1a0ebfc98f5,2025-02-21 11:15:10.813257,17,True
ES2625766207046894896321,c43924ae-0eeb-4ad7-ad68-c49354380798,2025-01-03 16:59:30.070382,18,True
ES2368951874495511325252,724a68f3-0804-4f48-bb0a-2a7470fedc0f,2025-01-17 22:15:49.929645,24,True
ES3856322805808326867713,48318d6c-e64b-4b1d-830c-9d479ad1f3c7,2025-01-23 13:20:41.137276,40,True
ES2940670882802388131392,d96e19d2-21b2-4bf3-a040-f3df73149311,2025-02-22 06:00:25.572047,44,False
ES4451913596233072976283,80964ee7-99eb-4205-95f6-3845645b372a,2025-02-20 06:04:05.902848,81,True
ES8590315636134093502658,fb737eb4-34eb-4b3a-ba58-2ab8e6c190f5,2025-01-23 18:33:32.683811,3,True
ES5125790711544980037477,63739e81-4cd2-4cec-8e20-d17634c96171,2025-01-22 03:02:24.145334,83,True
ES5662777540390714146439,101221c4-f6b3-4a6f-a941-fbf3ae13418f,2025-01-03 15:59:13.076965,14,True
ES5596497431385701941785,6ad4ab42-8519-4577-b563-d5d1856e05f6,2025-01-03 11:42:55.333963,73,False
ES7884213115840579086037,d96e19d2-21b2-4bf3-a040-f3df73149311,2025-02-13 10:01:16.479473,45,True
ES1951558704637311593281,d341096e-6146-4bf1-be82-fe57c9d91bcc,2025-01-31 07:57:28.904430,41,True
ES7870775599902132489880,76877a06-4646-434f-81db-531bfd6ee1d1,2025-01-05 07:38:23.425438,50,False
ES1879692392441981432102,77576383-6fbc-4efc-a6ae-20d30737eaeb,2025-01-26 01:50:16.194336,79,True
ES0834357219680447348546,44eaf21a-8749-4b42-99cf-e64d57eeef9f,2025-01-22 13:45:09.688634,78,False
ES7103530185425668259683,ec942981-13b0-4819-b44f-a9cc0473bffc,2025-02-04 03:01:26.649074,77,True
ES6614476321468323087289,19491bf0-9f3a-4e91-9b02-23b158314e96,2025-01-14 09:19:58.396484,66,False
ES8729874808355615511276,c991154e-7fff-4665-abbb-8e2ae88d6533,2025-01-22 18:34:24.657032,63,True
ES2947253995033114263176,e9d3f77d-a89f-4cf3-95ef-cad561584b92,2025-01-12 19:39:07.375526,94,True
ES1462896888719562990940,21f10dc6-1acf-49e6-a90d-e5c46424ed6e,2025-01-07 10:50:02.028069,13,False
ES6282596111490483490002,e03c590d-b64e-434e-9d89-cd11a222a6cb,2025-01-12 09:37:59.511667,2,False
ES3897580474607185987703,2353e9dd-7bb4-425d-beaa-9c70f2bd0a72,2025-02-24 01:50:14.773099,31,True
ES8279712541295461016259,5d431013-9792-4920-afae-0406d292657b,2025-01-04 23:26:47.328409,47,False
ES4061170123216256342758,5cca9adc-83e1-4bcf-bdd0-cf20374c5f00,2025-01-15 02:48:55.941168,77,True
ES2839476417096741662273,5d4da68f-c31d-4527-966b-1bd9bc6aa7a1,2025-02-06 09:07:33.972092,74,True
ES1468879279948520054572,34de7703-f19b-4c8f-bf68-92a481b6c6b3,2025-01-31 01:59:22.055002,17,True
ES4265401800268089981220,4e25c542-139a-440f-b30c-25fb7c6418e2,2025-01-12 14:37:39.609353,61,True
ES8079412509404978800303,63739e81-4cd2-4cec-8e20-d17634c96171,2025-02-14 16:34:56.940874,39,True
ES7951296503677753885927,079314df-e500-47ed-a2e6-2b70fcc5214e,2025-01-21 01:26:40.552860,85,True
ES2523914462643716314147,5a0339aa-85ad-42ac-a8ec-92971c098499,2025-01-25 09:59:09.473148,55,False
ES8716735105443626424546,99b889fa-94e7-45b7-b999-889aaff9e52d,2025-01-11 01:34:51.388854,79,True
ES6611260443620804808087,5df04572-d80c-4ba1-a2b0-fe49e74e5b65,2025-01-04 10:55:26.489363,50,False
ES7889305909459363559506,7e743efe-52c6-4b7c-9676-377fac3770b7,2025-02-07 17:49:13.022532,69,True
ES1393736616650242033883,5d4da68f-c31d-4527-966b-1bd9bc6aa7a1,2025-02-17 23:51:00.719965,13,True
ES3425106076274791246613,cb12a16a-cc54-494c-a986-c547cef60515,2025-02-06 19:27:58.345431,59,False
ES3150438995970102304882,1155abec-8d94-458d-b8df-82fae1e22e61,2025-01-21 08:09:40.435462,5,False
ES9695897649472656390864,a65b6c51-ed36-446f-88a5-cc68683968f7,2025-01-02 20:46:11.827412,86,False
ES3493773131703331389057,e7bf177f-d485-4eea-9c68-2523de6dbfa2,2025-02-11 03:36:56.130659,93,False
ES6017480049775942907987,d58085cd-6312-44ee-a105-86b1bc722112,2025-01-28 18:18:33.055353,98,False
ES4176434043300196108025,f1d07496-227e-4622-9de5-4da4022c126a,2025-02-01 19:51:39.176682,74,False
ES3063840111354395635438,b4c82953-4072-4ff2-8465-c3f8f457088f,2025-01-11 11:18:10.652684,7,True
ES3161750061027524525720,2c5e10c1-e596-4245-b2a4-000acd8a6828,2025-02-18 21:23:57.702491,60,False
ES0349161197561917605433,5c7cb400-2d54-48dc-82f2-198e1645c921,2025-02-12 17:01:36.338967,66,True
ES4844789625921495700159,b1adf980-7db5-4cab-94b2-d4b6698586ae,2025-02-09 01:54:30.556302,33,True
ES1478140193652890571946,0778000f-2287-43fb-a05c-90772d795ead,2025-02-23 09:20:02.859575,25,True
ES9754581018713706074828,86a7fd1c-a3a8-4f71-91b5-948683929293,2025-02-21 04:57:44.229872,100,False
ES0678048069344676955640,a62f97f2-1cb6-4762-90af-a6b4783eabde,2025-02-04 15:56:15.514484,83,False
ES0362047642461483984939,5bbffad5-fc1e-474d-a2ef-8b496af72c09,2025-02-19 18:16:47.635570,16,True
ES8088899575736585192774,8242f949-6355-4e57-bb21-8c14e62de7a4,2025-01-22 16:13:58.885075,99,True
ES5844071303789285971947,b3544642-57ea-465b-b816-69f62f801934,2025-02-17 21:48:38.905351,19,True
ES6696274749542121415260,09e5e3b5-7b9c-46e6-a292-f897a354c18d,2025-01-21 11:49:01.590927,90,False
ES0544935308983271602991,b67ca90e-a3e6-40f0-ad21-355cfb5e4dbd,2025-02-14 13:14:02.897595,49,True
ES2007139490878857425124,86a7fd1c-a3a8-4f71-91b5-948683929293,2025-02-22 13:27:46.539640,89,True
ES5743151420827690770636,edec1e61-83e2-4dd4-afdc-846454ed7840,2025-02-17 16:58:49.479338,34,False
ES0382707224332441622240,613c4ca1-98f0-43dc-b6c7-9e83713e355d,2025-02-21 12:48:17.818263,79,True
ES2231563990443584749457,feeebcfc-13b9-4b39-acd9-adcbc3e60117,2025-01-05 00:14:46.840655,22,True
ES5784701673350546355970,21f10dc6-1acf-49e6-a90d-e5c46424ed6e,2025-02-08 21:13:10.768133,37,False
ES2764708467095519414146,ac353596-db0f-4d59-a3e6-f6e83d038411,2025-01-30 09:50:40.897211,51,False
ES7554621770951883099001,feeebcfc-13b9-4b39-acd9-adcbc3e60117,2025-02-09 10:22:52.395665,63,True
ES9240719071384963112194,a93bf1f8-17eb-4d80-bc65-ddad23e39a91,2025-02-16 23:07:09.285972,41,True
ES8881021624080117597866,520d2bc0-b4c7-4e03-b144-0240cad5484e,2025-01-16 18:57:36.727490,33,True
ES7884213115840579086037,77252846-4655-4a11-a815-f7a0997c46d6,2025-01-22 20:00:41.368359,54,True
ES6873987325032163105402,9be7ada0-d2e1-44b3-934f-622f8e255d32,2025-02-22 16:02:00.841316,25,True
ES7705940975407629603431,1ca8d806-a73b-4c62-b760-06c0d9427972,2025-01-29 15:07:05.036274,29,True
ES8941368590060314373722,d58085cd-6312-44ee-a105-86b1bc722112,2025-01-12 08:34:44.059603,75,False
ES9368541042435344190577,fde953b0-e74c-4240-b96d-7366828d3cb3,2025-01-04 22:53:56.864963,20,False
ES5373050434098969718326,ad41d24f-0468-448b-ae41-ee60bfda4e65,2025-02-07 00:53:16.333048,90,False
ES1310934212671246574374,58a6a95f-bb92-4c93-98e1-88a16fdd9c67,2025-01-05 18:03:39.946652,36,True
ES6302928618404522312312,68e9482d-60dc-4dbd-9525-c5ed2fcf8ea3,2025-01-19 07:37:14.004589,82,True
ES0682076248700062686096,45be02e8-1c98-4b62-b168-287850c085b7,2025-01-03 09:16:19.017815,6,False
ES5981948247774352303955,7ed1d52b-7aef-40de-bd20-49d8688d6ed8,2025-02-06 19:35:52.501079,67,False
ES8830327189514185348674,15f3ae40-679e-4447-b8c1-f4c331f6fa29,2025-02-18 14:29:57.556420,58,True
ES2868825764786808310562,ea59093d-e118-4897-94c6-836ec86d773a,2025-01-06 10:20:25.242791,35,True
ES9814034394386591696413,34de7703-f19b-4c8f-bf68-92a481b6c6b3,2025-01-01 07:55:08.696764,63,False
ES8602522756199717989035,14abdd1e-bb30-4e37-84ea-07a22497bd5f,2025-01-30 15:40:43.739106,30,True
ES5056021490644299973422,d867dbce-7078-47f4-867a-ae0acc537e80,2025-02-12 04:20:52.492850,92,True
ES7376994627887455578513,5a26665a-2039-4992-a2d9-2c9690fa070c,2025-01-23 23:52:00.580138,86,True
ES4027997225314361602367,9786abac-5b83-45a9-a3e4-6ba7fdec3be8,2025-01-30 15:28:02.511425,41,True
ES9407297851812263976895,72cec41b-29e8-4ace-8e49-e65d45bb50e5,2025-01-05 02:34:10.989689,83,True
ES3578662248277519347711,45b8c260-7a56-48be-a3c2-77292ceb4efb,2025-01-28 05:33:48.227897,65,True
ES5248139972711987216510,9e7235dc-1b08-49cb-98ec-3555921a68c8,2025-02-19 23:11:23.285816,20,True
ES0770089204724029604252,bcf67f4f-e209-4037-aa62-84d7fe4a7617,2025-01-16 06:03:51.530777,29,True
ES3201988811555265052736,ec9eb7e5-f0e0-4d7b-a2e4-9ec87093af62,2025-02-10 19:06:46.595010,4,False
ES4922258846648044784903,c731523c-8b63-4afc-a35a-ab9020487be5,2025-01-12 04:31:27.020278,90,True
ES3551741989356413775964,d8d36d4d-194f-404c-a352-7a5b45d163e0,2025-01-24 17:39:52.720777,66,False
ES5968405620159763612777,e8b840e4-5459-45d4-ab92-84c9f7dc90f0,2025-01-13 05:35:37.024611,64,True
ES1043751592594872692136,260671f4-5d54-43c3-a42e-68ad5fa19814,2025-02-20 09:14:36.431022,25,True
ES0415002623097843964180,b579713a-c56c-4e86-803c-2971c211b289,2025-01-01 15:20:08.221018,65,False
ES3306463561558555389993,e44f7b7e-2904-4ecd-9829-e1a0ebfc98f5,2025-02-25 20:10:22.019496,36,False
ES4671122008291042838092,7e88ff75-c603-419e-ba49-bf0c873733cb,2025-01-26 11:37:21.526426,74,False
ES1778563574736717000861,14abdd1e-bb30-4e37-84ea-07a22497bd5f,2025-01-24 07:04:31.601224,79,False
ES1630917122033161240079,3b45d539-a54f-4086-8b2d-4790f0bdff51,2025-02-24 00:27:11.595311,19,False
ES7884213115840579086037,2ab42f02-bcad-4691-88c1-2fdfdba0029a,2025-02-05 17:27:21.735097,50,False
ES8597346969826339952109,340d8916-a864-435f-82b2-aee2990e3fcb,2025-01-09 19:35:51.501534,31,True
ES4841671455635145927022,33adf5ed-4a7b-4632-a225-d12aa5ab2cf6,2025-01-22 04:01:11.581679,6,True
ES6949987440333955329433,d369dd75-02ae-486b-8484-a9bb1a2a63aa,2025-02-06 06:57:35.783488,55,True
ES0276643357277334455389,d58085cd-6312-44ee-a105-86b1bc722112,2025-01-13 06:04:05.675415,92,False
ES0764182509724926081758,e2961d81-e495-410d-9729-1dbadcad9faf,2025-02-04 10:25:09.830373,57,False
ES3400550081218469840218,02441975-e815-46b4-a4d6-f20256c10893,2025-02-12 19:44:07.026545,47,False
ES4474721483213826392086,6162de4c-04e5-441c-976c-1699f729b6a0,2025-02-22 10:07:04.400832,13,True
